content	x	y	w	h	
MRS	352	190	68	26	
.	425	190	5	26	
E.	445	190	33	26	
C.	492	190	30	26	
ELLSWORTH	538	190	194	26	
.	736	190	8	26	
4	432	258	46	43	
4-3	430	320	122	47	
5	527	297	24	24	
9	234	1355	86	70	
:	290	1354	61	70	
9:24	242	688	255	58	
.	518	680	31	65	
-b	328	746	37	50	
-	363	746	36	50	
b4	394	746	85	50	
9	236	1923	74	64	
:	306	1918	38	66	
5	344	1916	56	65	
1.	424	424	32	40	
Sing	480	423	86	41	
,	567	423	7	41	
tho	607	423	62	40	
'	669	422	11	41	
thy	697	422	62	41	
way	785	422	76	41	
be	907	421	43	41	
2.	422	465	36	43	
Sing	481	465	86	43	
,	569	465	8	43	
tho	607	465	63	43	
'	671	465	11	43	
thy	698	466	62	43	
bur	785	466	67	43	
-	866	466	13	43	
den	896	466	64	44	
3.	426	515	33	40	
Sing	481	513	87	40	
,	570	512	8	41	
tho	608	511	64	40	
'	670	510	12	41	
thy	697	509	67	39	
sin	792	507	57	41	
4.	422	557	33	39	
Sing	480	556	85	40	
,	567	556	6	40	
tho	606	556	63	40	
'	672	556	9	40	
the	692	555	61	40	
floods	771	555	108	40	
3	495	974	21	22	
1	496	1007	19	19	
5	527	653	21	20	
wea	444	1106	72	20	
tress	444	1145	85	23	
fail	440	1184	74	28	
5	493	1321	24	24	
5	462	1611	23	24	
2	459	1661	23	21	
bbs	329	1988	156	38	
5	459	1994	27	25	
1	530	717	14	17	
ry	613	1107	43	27	
,	655	1107	11	27	
thee	596	1141	82	35	
,	680	1142	7	35	
thee	594	1185	79	34	
,	676	1186	7	33	
sake	441	1230	89	28	
thee	593	1229	81	34	
,	677	1231	7	33	
2	551	1662	26	21	
5.5	634	649	116	25	
5	819	650	19	21	
1	813	707	36	28	
2	615	992	37	22	
17	614	1021	40	25	
5	620	1322	25	22	
12+	719	1372	28	49	
4	736	1631	22	22	
2	734	1662	25	21	
5	554	1994	22	23	
5	646	1994	21	23	
5	816	299	24	23	
3	820	332	19	21	
5.	553	1885	73	29	
5	643	1888	26	27	
5	734	1888	30	26	
5	737	1994	24	24	
42	828	959	25	48	
5	829	1323	23	22	
5	829	1428	22	23	
5	829	1612	22	22	
7	830	1692	21	22	
3	927	332	20	21	
1	926	364	20	19	
5	832	1889	19	21	
Praise	376	1758	121	41	
should	512	1759	130	42	
thy	660	1761	63	41	
lips	741	1763	70	40	
em	830	1764	48	40	
-	887	1765	12	40	
ploy	901	1765	81	41	
,	984	1766	12	40	
5	830	1994	21	23	
5	925	649	22	23	
drear	997	421	100	41	
-	1111	420	13	41	
y	1135	420	20	41	
,	1161	420	8	41	
press	1000	467	96	43	
thee	1116	467	82	43	
,	1199	468	8	43	
as	909	511	36	38	
-	971	511	18	38	
sail	1013	511	70	38	
thee	1118	512	79	38	
,	1199	512	7	38	
o'er	897	555	69	40	
-	977	554	13	40	
take	1001	554	83	40	
thee	1112	554	81	40	
,	1194	554	8	40	
3	970	681	24	23	
2	953	991	23	22	
7	952	1023	23	22	
3	1048	331	19	22	
1	1048	361	23	21	
5	952	1427	22	23	
5	950	1321	25	23	
●	1015	1330	18	12	
5	1071	1320	27	25	
5	922	1888	31	24	
5	1047	651	22	21	
SING	1109	156	138	56	
,	1253	154	13	58	
EVER	1298	153	159	57	
SING	1486	151	138	56	
.	1628	149	14	58	
5	1418	1054	18	18	
light	1375	1096	95	36	
.	1473	1096	7	36	
Sing	787	1093	83	39	
,	874	1092	7	40	
tho	926	1092	62	39	
'	989	1091	14	40	
thou	1036	1091	87	39	
see	1148	1090	55	40	
no	1271	1106	46	20	
Sing	786	1135	86	42	
,	874	1135	8	42	
tho	927	1135	62	43	
'	992	1136	10	42	
thou	1036	1136	86	42	
suf-	1149	1137	94	42	
fer	1265	1137	51	42	
wrong	1365	1138	119	42	
.	1487	1138	10	42	
and	926	1185	68	26	
0	1026	1180	30	29	
a	1064	1196	20	18	
con	1139	1192	64	29	
-	1205	1190	13	32	
queror	1220	1189	130	28	
be	1393	1185	44	30	
.	1439	1183	9	32	
Sing	782	1186	86	32	
,	870	1183	11	35	
and	924	1182	71	33	
Dark	784	1228	99	27	
tho	925	1228	63	28	
'	985	1229	12	27	
the	1047	1230	60	27	
waters	1151	1231	174	28	
roll	1386	1229	73	29	
.	1459	1229	9	29	
5	1073	1426	25	24	
2	1136	346	38	28	
77	1129	379	54	21	
1	1105	1676	20	21	
5	1146	651	21	19	
BE	1102	1982	24	57	
4	1168	960	21	21	
2	1166	991	24	22	
5	1164	1320	26	24	
5	1166	1427	24	24	
7	1283	1022	28	24	
5	1286	1051	26	23	
-6-6	1128	1871	88	24	
5	1287	1427	25	24	
4	1323	319	21	20	
2	1320	347	26	23	
6	1288	1600	21	21	
7	1716	378	26	25	
long	1810	467	85	38	
,	1897	469	7	36	
Sing	1277	417	86	42	
thro	1385	417	81	42	
'	1466	417	11	42	
the	1501	417	60	42	
darksome	1585	418	185	42	
night	1801	418	102	43	
,	1906	419	7	42	
Sing	1276	466	86	40	
,	1363	464	8	41	
tho	1405	464	65	40	
'	1470	463	10	41	
thou	1498	462	88	40	
bear	1603	461	84	40	
it	1707	459	34	41	
Soon	1275	508	95	33	
shall	1395	509	94	34	
the	1506	510	60	33	
tempt	1584	511	110	34	
-	1697	512	11	33	
er	1709	512	39	33	
Surg	1272	550	92	44	
-	1379	549	15	45	
ing	1402	549	65	45	
a	1512	549	21	45	
-	1534	548	13	45	
round	1548	548	117	45	
the	1698	548	60	45	
flee	1816	511	63	34	
,	1881	513	7	32	
soul	1814	547	79	45	
,	1895	547	8	45	
1	1291	1676	18	20	
5	1320	649	27	25	
5	1320	755	26	25	
6	1285	1874	26	21	
5	1429	757	23	22	
-6	1358	1873	42	21	
4	1381	1904	22	22	
3	1521	330	24	22	
5.5	1429	649	116	24	
5	1608	648	33	26	
5	1719	651	24	22	
4	1613	317	22	21	
2	1608	348	28	23	
5	1520	757	23	23	
4	1471	1904	22	23	
5	1611	755	24	24	
7	1471	1581	25	23	
5-66	1467	1609	152	9	
4	1593	1632	21	20	
5	1720	299	23	22	
And	1072	1759	82	42	
to	1188	1759	35	42	
thy	1264	1760	63	42	
Lord	1346	1760	95	43	
be	1465	1761	41	42	
bringing	1567	1762	167	43	
-5	1705	755	38	26	
CHORUS	1622	845	205	26	
.	1831	845	11	26	
5	1690	1614	24	22	
3	1692	1645	23	19	
A.	1792	896	59	37	
4	1781	960	21	21	
3	1852	333	16	17	
5	1840	651	37	24	
.	1900	651	24	24	
(	1841	713	24	22	
1	1851	713	24	22	
)	1865	713	21	22	
64	1774	1302	26	51	
.	1774	1357	26	13	
12	1805	1941	29	33	
Yes	1631	1139	68	40	
,	1702	1138	9	41	
let	1755	1137	51	41	
thy	1843	1137	65	40	
soul	1928	1136	79	40	
6	1873	929	20	20	
8	1854	1308	50	47	
52	1868	1683	21	64	
1	1964	899	19	20	
4	1963	958	23	23	
5	1871	1995	21	21	
53	2023	360	22	54	
5	1957	1886	33	31	
5	1963	1994	21	22	
Sing	1993	422	86	42	
,	2081	420	7	43	
tho	2113	420	63	42	
'	2175	419	12	43	
thy	2206	419	65	42	
feet	2295	418	71	42	
be	2408	416	44	43	
Sing	1993	467	85	38	
,	2081	466	7	39	
tho	2113	466	63	38	
'	2177	465	9	39	
the	2206	465	60	39	
foe	2299	464	55	39	
dis	2401	464	52	38	
Ne'er	1988	509	104	39	
shall	2106	510	96	40	
thy	2222	511	65	39	
Je	2304	512	46	39	
-	2366	513	15	39	
sus	2401	513	58	39	
Ne'er	1986	555	103	39	
let	2127	555	50	39	
thy	2207	555	63	40	
joy	2300	556	58	39	
for	2397	556	54	39	
be	2073	1136	46	31	
J.	2113	185	31	29	
H.	2157	186	38	30	
F.	2211	188	32	30	
By	2282	190	42	31	
per	2344	192	53	31	
.	2400	194	5	29	
●	2012	1897	14	11	
5	2055	1889	20	21	
7	2084	1289	23	22	
4	2085	1335	22	22	
5	2052	1993	24	24	
3	2135	332	19	22	
6	2148	929	21	20	
4	2147	961	22	20	
5.	2131	649	71	23	
5	2227	650	21	22	
5	2314	648	30	26	
4	2144	1630	23	22	
2	2141	1660	29	22	
42	2221	314	25	49	
S	2141	1886	30	34	
●	2183	714	14	10	
5	2142	1993	28	24	
1	2228	714	13	15	
5	2234	1722	23	22	
5	2329	1721	25	22	
To	1846	1761	49	39	
-	1901	1761	13	39	
kens	1914	1761	86	39	
of	2049	1761	39	39	
trust	2105	1762	92	39	
and	2215	1762	68	39	
joy	2311	1762	59	39	
.	2373	1763	10	39	
AOL	2232	989	29	83	
6	2240	929	20	19	
4	2238	959	23	22	
53	2313	359	21	55	
singing	2207	1139	201	38	
,	2409	1139	8	38	
4	2236	1902	24	24	
5	2370	945	17	17	
3	2369	974	18	17	
.	2388	974	9	17	
5	2235	1993	24	23	
33	2419	390	24	54	
5	2423	651	21	22	
3	2471	684	20	21	
5	2507	162	36	45	
