content	x	y	w	h	
4.	458	263	34	37	
Früchte	519	262	129	37	
des	664	260	55	38	
Geistes	738	259	116	37	
u	874	258	19	38	
.	897	258	9	38	
[	915	257	15	38	
.	929	257	10	38	
w	954	257	25	38	
.	986	257	10	38	
2	454	351	26	42	
D'rum	508	350	136	41	
flehen	666	348	118	41	
wir	805	347	68	41	
zu	891	346	43	42	
Dir	958	345	75	42	
Um	409	411	66	44	
Deines	503	410	142	44	
Geistes	670	409	141	44	
Gabe	836	408	106	44	
,	945	407	11	45	
Daß	411	470	86	40	
jeder	519	469	100	40	
unter	640	468	107	40	
uns	769	466	72	41	
Ein	409	527	72	46	
Herz	501	526	94	46	
voll	614	525	78	47	
Frieden	710	524	159	47	
habe	887	523	93	47	
.	984	523	12	47	
Gieb	411	582	95	46	
,	513	582	10	46	
daß	542	582	68	46	
wir	631	583	69	46	
alleſammta	721	583	283	48	
Im	410	644	69	46	
Guten	502	644	127	46	
einig	653	644	98	46	
sei'n	768	644	89	46	
;	874	644	12	46	
So	412	698	66	57	
sammeln	495	698	182	58	
wir	696	699	69	58	
geſammt	784	700	183	58	
,	971	701	37	57	
Die	413	761	74	45	
Frucht	506	760	134	44	
des	657	758	67	46	
Friedens	744	757	182	45	
ein	949	755	58	46	
.	1010	755	11	46	
Ⓡ	1008	545	44	33	
a	957	659	25	36	
n2	531	833	52	35	
dnu	604	832	74	36	
d	741	831	21	36	
3	461	891	26	42	
Laß	510	890	75	41	
eins	607	888	80	41	
dem	710	887	79	41	
andern	810	885	140	41	
stets	967	883	88	41	
midun	248	939	127	50	
Zum	411	940	99	50	
edlen	532	941	102	51	
Balsam	654	942	157	51	
werden	831	943	147	51	
,	983	945	14	50	
Daß	413	1008	90	45	
ein	524	1006	57	46	
bedrängtes	601	1005	226	44	
Herz	848	1002	92	46	
dull	960	1001	93	45	
In	414	1066	57	39	
allerlei	494	1064	139	39	
Beschwerdenen	651	1063	353	35	
Von	413	1118	92	46	
seinem	521	1118	136	46	
Nächsten	678	1118	173	46	
Trost	873	1118	116	46	
Und	415	1180	84	41	
Hülfe	519	1179	112	42	
kommen	645	1178	163	42	
seh	827	1178	60	41	
'	888	1177	15	42	
,	904	1177	19	42	
do	935	1177	67	42	
Und	418	1240	82	44	
daß	521	1239	69	45	
ein	614	1239	56	45	
Bruderherz	690	1239	237	44	
Das	418	1298	88	43	
andre	528	1297	114	43	
nicht	663	1295	89	44	
verschmäh	773	1294	201	43	
'	975	1293	14	44	
!	1002	1292	15	44	
4	467	1414	26	47	
Laß	514	1413	76	46	
uns	614	1412	71	46	
in	706	1411	37	47	
Einigkeit	767	1410	184	45	
Stets	423	1474	110	37	
bei	557	1473	56	38	
einander	634	1472	173	37	
wohnen	827	1471	155	38	
U	353	1533	32	47	
Und	419	1531	86	45	
trag	525	1528	82	47	
uns	629	1526	73	45	
allezeit	723	1523	146	45	
e	1022	1516	24	47	
Mit	420	1589	82	46	
gnädigem	522	1588	195	46	
Verschonen	743	1587	227	46	
;	984	1586	14	47	
Laß	419	1650	75	39	
unter	517	1647	107	39	
Deinem	647	1645	159	37	
VolkbG	823	1641	218	36	
Die	424	1702	78	42	
Eintracht	520	1702	187	42	
herrlich	724	1702	146	42	
blüh'n	891	1702	129	42	
,	1025	1702	13	42	
Bis	421	1764	76	47	
wir	518	1762	69	48	
aus	606	1761	69	48	
Krieg	697	1760	112	47	
und	830	1759	76	47	
Streit	930	1758	127	47	
Zum	425	1824	97	47	
ew'gen	543	1822	137	46	
Frieden	703	1820	158	46	
zieh'n	876	1817	116	47	
!	1008	1815	13	48	
Kuonn'a	751	1902	134	29	
diederichag	901	1900	173	29	
1837	1089	1899	82	29	
.	1170	1898	8	30	
487	724	1950	50	20	
