content	x	y	w	h	
KATE	651	383	89	29	
SUMNER	759	383	129	29	
BURE	907	383	83	29	
.	992	383	9	29	
9	571	856	69	89	
:	634	859	31	87	
1	667	861	41	88	
9	569	1473	82	92	
:	621	1475	45	91	
2	661	1476	66	92	
9	568	2048	78	85	
:	636	2048	53	84	
4	762	481	52	50	
4	755	921	59	51	
the	1290	671	57	35	
1.	771	671	31	35	
Up	838	671	48	35	
,	891	671	5	35	
friends	912	671	124	35	
of	1050	671	33	35	
Jesus	1102	671	139	35	
,	1245	671	6	35	
2.	770	704	28	38	
Up	840	704	48	38	
,	893	704	6	38	
friends	914	704	124	38	
of	1050	704	35	38	
Jesus	1103	704	143	38	
,	1248	704	7	38	
for	1296	704	47	38	
3.	771	737	27	35	
Shout	817	737	99	35	
,	920	737	6	35	
friends	942	737	122	35	
of	1079	737	33	35	
Je-	1125	737	53	35	
sus	1191	737	53	35	
for	1291	737	50	35	
No.	1148	291	94	60	
49.	1260	290	88	61	
WORK	1408	290	191	60	
AND	1635	289	134	60	
PRAY	1805	288	163	61	
.	1966	287	21	61	
CHORUS	820	1680	159	29	
.	980	1681	9	28	
Work	775	1923	100	25	
and	934	1921	64	31	
pray	1045	1926	79	31	
,	1127	1929	8	28	
..	1141	1930	23	29	
"	1324	379	20	34	
Go	1356	379	46	34	
work	1418	379	87	34	
in	1519	379	33	34	
my	1567	379	51	34	
vineyard	1633	379	155	34	
.	1793	379	7	34	
"	1800	379	17	34	
-	1823	379	29	34	
Matt	1857	379	84	34	
.	1946	379	7	34	
21	1962	379	35	34	
:	2004	379	9	34	
28	2029	379	35	34	
.	2064	379	11	34	
Strong	774	1300	116	30	
in	939	1303	33	20	
his	1021	1294	49	37	
strength	1088	1294	148	37	
let	1251	1294	44	37	
us	1330	1294	36	37	
Wake	790	1330	104	34	
from	928	1330	81	34	
re-	1036	1330	48	34	
pose	1095	1330	76	34	
,	1175	1330	5	34	
hear	1218	1330	76	34	
the	1321	1330	53	34	
Then	791	1368	89	23	
let	931	1367	46	23	
us	1032	1368	40	22	
has	1105	1366	59	22	
49	1048	2082	65	39	
...	1273	1941	42	7	
harvest	1393	671	132	35	
now	1538	671	69	35	
is	1644	671	25	35	
white	1690	671	96	35	
,	1791	671	5	35	
Work	1803	671	95	35	
will	1914	671	65	35	
soon	1990	671	77	35	
be	2079	671	40	35	
o	2163	671	18	35	
yer	2232	671	55	35	
,	2292	671	6	35	
fast	2321	671	66	35	
falls	2424	671	72	35	
the	2514	671	55	35	
shade	2582	671	99	35	
of	2694	671	35	35	
night	2741	671	91	35	
;	2840	671	10	35	
time	1376	704	75	38	
will	1468	704	63	38	
soon	1544	704	77	38	
be	1647	704	38	38	
o'er	1710	704	65	38	
,	1780	704	5	38	
Harvest	1811	704	139	38	
days	1964	704	77	38	
are	2061	704	57	38	
pass-	2138	704	85	38	
ing	2236	704	57	38	
to	2337	704	35	38	
come	2407	704	90	38	
again	2528	704	134	38	
no	2681	704	44	38	
more	2736	704	91	38	
;	2833	704	10	38	
when	1362	737	95	35	
our	1470	737	58	35	
work	1543	737	88	35	
is	1650	737	25	35	
done	1698	737	83	35	
,	1784	737	5	35	
Joy	1805	737	60	35	
-	1878	737	11	35	
ful	1898	737	49	35	
we	1976	737	47	35	
will	2053	737	65	35	
gath	2135	737	77	35	
-	2216	737	10	35	
er	2237	737	35	35	
to	2339	741	34	31	
greet	2413	741	91	31	
the	2516	741	55	31	
har	2583	741	58	31	
-	2645	741	8	31	
vest	2657	741	68	31	
home	2738	741	94	31	
;	2842	741	8	31	
B	1845	857	100	108	
Work	1107	1963	97	33	
and	1225	1966	61	32	
pray	1307	1969	81	32	
,	1392	1971	6	30	
find	1414	1294	66	37	
the	1512	1294	54	37	
gold	1602	1294	73	37	
-	1680	1294	9	37	
en	1690	1294	40	37	
sheaves	1745	1294	134	37	
;	1888	1294	9	37	
Could	1907	1294	98	37	
we	2022	1294	46	37	
meet	2080	1294	84	37	
the	2179	1294	53	37	
Master	2247	1294	165	37	
with	2427	1294	75	37	
naught	2516	1294	123	37	
but	2653	1294	59	37	
leaves	2722	1294	108	37	
?	2834	1294	15	37	
Mas-	1411	1330	87	34	
ter	1512	1330	48	34	
call	1597	1330	62	34	
-	1670	1330	10	34	
ing	1690	1330	56	34	
still	1778	1330	65	34	
,	1846	1330	7	34	
Rise	1877	1330	74	34	
to	1981	1330	33	34	
earn-	2058	1329	93	32	
est	2164	1329	50	32	
ef	2257	1329	34	32	
fort	2364	1329	66	32	
with	2452	1329	74	32	
right	2548	1329	85	32	
good	2645	1329	79	32	
will	2741	1329	64	32	
.	2807	1329	8	32	
ten	1233	1364	54	33	
the	1322	1363	56	34	
golden	1413	1363	149	33	
sheaves	1578	1362	133	34	
to	1721	1361	31	34	
bind	1774	1361	75	34	
,	1856	1361	5	34	
Rest	1876	1361	76	34	
and	1964	1360	65	34	
life	2063	1360	59	34	
e-	2173	1366	48	22	
ter	2248	1364	50	22	
nal	2368	1365	57	22	
we	2468	1362	48	28	
all	2558	1361	45	28	
shall	2635	1360	82	28	
find	2734	1359	65	28	
.	2806	1358	8	29	
辦	2405	1441	224	185	
yes	1447	1922	57	33	
,	1508	1922	7	33	
work	1530	1922	87	33	
and	1643	1922	66	33	
pray	1721	1922	80	33	
,	1803	1922	10	33	
9	1447	2082	50	45	
L	1534	2083	57	45	
OHAS	2292	376	81	33	
.	2376	377	6	32	
EDW	2395	377	70	33	
.	2470	379	6	32	
POLLOCK	2492	379	134	34	
,	2629	381	6	32	
by	2649	382	33	32	
per	2693	383	44	32	
.	2738	383	8	32	
19461	1785	2071	36	71	
Work	1805	1961	99	34	
and	1920	1964	63	34	
pray	1998	1967	78	34	
,	2078	1969	7	31	
11	2327	846	135	132	
-	2328	1376	11	4	
Let	2158	1921	59	24	
the	2284	1913	60	36	
watchword	2371	1913	198	36	
pass	2608	1913	80	36	
鞋	2727	846	133	134	
#	2257	2125	93	110	
4	2354	2129	89	110	
a	2765	1927	23	19	
