content	x	y	w	h	
180	324	243	87	36	
9.	370	363	36	34	
Five	434	363	93	34	
tones	546	363	105	34	
.	655	363	6	34	
2	418	448	37	32	
4	416	495	41	33	
d	479	568	27	33	
r	596	580	18	19	
m	686	579	38	20	
m	820	577	40	22	
r	941	576	20	20	
m	1023	577	39	19	
S	1580	573	22	22	
S	1783	574	21	22	
Morn	441	615	110	44	
-	555	614	11	45	
ing	568	613	65	45	
bright	649	613	125	44	
,	781	612	4	45	
morning	810	611	173	44	
bright	1005	610	124	44	
,	1137	608	5	45	
Brings	1158	608	133	44	
a	1306	607	20	45	
-	1327	607	11	45	
gain	1339	607	87	44	
its	1468	606	47	44	
bless	1544	605	95	44	
-	1650	604	14	45	
ed	1672	604	44	45	
light	1742	603	98	45	
,	1842	602	11	45	
F	1360	724	102	73	
S	821	853	21	21	
f	930	840	23	29	
m	1032	849	41	22	
Now	442	886	92	45	
to	585	885	41	46	
work	654	885	103	45	
,	759	884	6	46	
do	816	884	46	46	
not	914	883	67	46	
shirk	997	883	106	46	
,	1108	883	6	46	
Now	1144	882	91	46	
to	1265	882	37	46	
happy	1348	882	162	45	
,	1516	881	7	46	
healthful	1543	881	193	45	
work	1745	880	101	46	
.	1846	879	12	46	
10.	372	980	59	42	
Six	479	980	66	42	
tones	563	980	105	42	
.	673	980	9	42	
Triple	731	980	128	42	
measure	878	980	170	42	
.	1048	980	10	42	
Always	1110	978	155	41	
"	1290	973	23	44	
beat	1322	972	89	44	
time	1428	970	93	42	
.	1525	967	10	45	
"	1535	967	20	45	
3	415	1066	42	35	
1	1369	1180	21	34	
S	1050	1197	20	22	
11.	373	1269	57	43	
Base	458	1268	94	44	
staff	571	1267	92	44	
.	653	1267	11	44	
All	717	1266	65	44	
practice	799	1266	166	43	
reading	982	1265	156	43	
from	1156	1264	93	43	
this	1269	1263	78	44	
staff	1367	1262	92	44	
.	1452	1262	8	44	
9:27	337	1344	398	59	
94	337	1335	138	76	
d	481	1450	28	33	
d	593	1448	29	33	
d	691	1449	26	33	
12.	374	1544	57	32	
What	460	1543	116	32	
measure	594	1542	168	32	
?	776	1541	15	33	
Beats	840	1541	110	32	
?	964	1540	16	33	
Rest	1029	1540	88	33	
?	1131	1539	19	33	
9	339	1614	57	59	
:	394	1615	32	58	
3	413	1616	43	59	
9	337	2391	64	63	
:	384	2391	39	62	
m	708	1199	39	20	
PRACTICAL	824	248	266	27	
EXERCISES	1134	245	258	28	
.	1397	243	10	29	
With	446	2531	109	42	
its	584	2538	51	39	
gen	676	2542	70	41	
2	442	2773	38	34	
4	444	2820	36	34	
do	498	2872	47	31	
J	823	1373	30	24	
1	774	2557	14	5	
r	1088	1725	20	20	
Do	880	1761	57	29	
re	986	1765	41	29	
re	1077	1772	41	20	
Now	444	1761	94	41	
we	558	1761	52	41	
sing	631	1761	84	41	
Do.	746	1761	72	41	
9	338	1867	73	66	
J	455	1862	103	65	
12	705	1868	144	74	
want	445	1978	104	40	
to	589	1978	40	40	
,	633	1978	9	40	
you	690	1978	76	40	
see	788	1978	60	40	
!	859	1978	12	40	
Yes	932	1978	75	33	
,	1010	1975	11	36	
if	1065	1973	41	35	
we	1173	1981	53	37	
want	1249	1981	103	37	
to	1393	1981	38	38	
,	1434	1982	6	37	
you	1493	1982	71	37	
see	1603	1982	57	38	
.	1666	1983	8	37	
.	1700	1983	14	37	
.	1737	1983	13	37	
13.	374	2066	59	41	
What	460	2066	119	41	
key	595	2066	74	42	
?	679	2067	18	41	
What	746	2067	117	41	
measure	884	2068	170	41	
?	1061	2068	22	41	
d	487	2240	26	33	
r	826	2252	19	19	
m	910	2252	34	19	
Happy	446	2287	188	42	
,	636	2287	11	42	
happy	686	2287	177	42	
morn	888	2287	107	42	
-	1021	2287	15	42	
ing	1059	2288	65	41	
,	1127	2286	8	42	
All	1187	2285	67	41	
the	1299	2283	66	42	
d	1160	1447	28	34	
2	1075	2162	41	25	
r	1280	1459	19	19	
r	874	2885	19	19	
JJ	1674	448	162	69	
S	1575	1194	21	22	
m	1187	1725	40	21	
m	1321	1724	38	23	
r	1618	1727	19	20	
mi	1182	1761	53	40	
,	1237	1761	9	40	
We	1296	1761	72	40	
can	1397	1761	70	40	
sing	1494	1762	81	40	
Base	1596	1762	92	40	
if	1718	1763	38	40	
we	1810	1773	55	20	
J	1134	2776	88	75	
14.	375	2628	57	46	
Key	459	2628	85	46	
of	562	2628	42	46	
G.	620	2628	47	47	
What	717	2629	119	46	
pitch	852	2629	103	47	
is	976	2630	28	46	
key	1025	2630	70	46	
-	1098	2630	10	46	
tone	1112	2630	87	47	
.	1202	2631	8	46	
It	1260	2631	38	46	
is	1316	2631	30	46	
just	1360	2631	80	47	
as	1461	2632	36	46	
easy	1516	2632	84	46	
to	1619	2632	39	46	
sing	1675	2633	84	46	
in	1782	2633	40	46	
one	1848	2633	71	46	
key	326	2690	73	36	
as	417	2687	38	38	
another	471	2686	162	34	
.	636	2681	8	39	
H	1504	2778	58	61	
S	1691	574	21	22	
f	1550	2242	23	31	
S	1646	2253	22	22	
the	1300	2287	66	33	
skies	1412	2287	100	33	
a	1545	2287	21	33	
-	1585	2287	14	33	
dorn	1617	2287	95	33	
ing	1791	2288	70	39	
,	1862	2288	11	39	
1	907	2492	20	30	
S	1300	2505	22	23	
tle	808	2539	51	44	
,	864	2539	7	44	
mellow	892	2539	145	44	
,	1041	2539	7	44	
beauteous	1062	2539	204	44	
,	1272	2539	6	44	
bless	1296	2539	96	44	
-	1396	2539	11	44	
ed	1410	2539	43	44	
gold	1504	2539	86	44	
-	1606	2539	11	44	
en	1632	2539	44	44	
light	1704	2539	98	44	
.	1807	2539	8	44	
dr	1163	2871	108	35	
m	1336	2876	32	32	
2	1655	2813	29	23	
