content	x	y	w	h	
THE	515	399	84	36	
HOUR	618	399	114	36	
OF	752	399	49	36	
PRAYER	822	399	176	36	
.	1004	399	8	36	
P.	1040	399	40	36	
M.	1098	399	44	36	
B	755	477	142	111	
6	609	486	40	36	
8	608	530	39	36	
9	511	1191	75	67	
582	576	803	99	32	
PRAYER	1135	345	211	30	
AND	1374	345	108	30	
PRAISE	1516	345	189	30	
.	1710	345	10	30	
"	1210	409	21	30	
Enter	1244	409	95	30	
into	1352	409	64	31	
thy	1430	410	51	30	
closet	1494	410	92	31	
.	1585	411	14	30	
"	1594	411	18	30	
H	1466	475	143	108	
to	2235	527	75	65	
My	649	649	38	42	
God	704	649	48	42	
!	762	649	8	42	
is	784	649	20	42	
an	825	649	28	42	
-	857	649	9	42	
y	866	649	16	42	
hour	893	649	58	42	
so	971	649	24	42	
sweet	1018	649	71	42	
,	1092	649	4	42	
From	1110	649	65	42	
blush	1189	649	65	42	
of	1278	649	26	42	
morn	1317	649	62	42	
to	1397	649	21	42	
evening	1438	649	94	42	
star	1549	649	47	42	
,	1601	649	4	42	
As	1619	649	30	42	
that	1662	649	52	42	
which	1727	649	77	42	
calls	1819	649	63	42	
me	1896	649	33	42	
to	1943	649	21	42	
thy	1979	649	42	42	
feet	2033	649	45	42	
,	2082	649	5	42	
The	2100	649	46	42	
hour	2162	649	58	42	
of	2227	649	30	42	
prayer	2263	649	88	42	
.	2350	649	11	42	
à	1488	723	93	120	
H	783	939	108	86	
№	1824	938	79	123	
Blest	606	1083	63	44	
is	685	1083	18	44	
the	715	1083	42	44	
tranquil	774	1083	101	44	
hour	887	1083	56	44	
of	954	1083	24	44	
morn	989	1083	61	44	
,	1055	1083	5	44	
And	1068	1083	51	44	
blest	1132	1083	58	44	
that	1207	1083	51	44	
solemn	1274	1083	83	44	
hour	1375	1083	57	44	
of	1449	1083	25	44	
eve	1489	1083	38	44	
,	1530	1083	4	44	
When	1551	1083	71	44	
on	1636	1083	27	44	
the	1681	1083	41	44	
wings	1735	1083	75	44	
of	1829	1083	23	44	
prayer	1866	1083	84	44	
upborne	1966	1083	100	44	
,	2069	1083	4	44	
The	2086	1083	46	44	
world	2145	1083	72	44	
I	2230	1083	11	44	
leave	2256	1083	63	44	
.	2319	1083	6	44	
194	495	1361	128	53	
Charlotte	1098	1382	152	21	
Elliott	1264	1382	104	21	
.	1372	1382	6	21	
2	491	1423	28	52	
For	548	1423	81	52	
then	645	1423	99	52	
a	767	1423	24	52	
dayspring	809	1423	219	52	
shines	1049	1423	129	52	
on	1199	1423	49	52	
me	1272	1423	64	52	
,	1339	1423	12	52	
Brighter	551	1482	187	45	
than	757	1480	99	47	
moon's	882	1479	143	47	
ethereal	1051	1478	176	46	
glow	1246	1477	103	47	
;	1363	1477	10	47	
And	496	1534	94	38	
richer	613	1533	131	38	
dews	765	1532	104	38	
descend	892	1531	168	38	
from	1081	1530	98	39	
thee	1205	1529	92	39	
Than	546	1588	113	37	
earth	681	1588	114	37	
can	815	1588	73	37	
know	911	1588	113	37	
.	1032	1588	10	37	
4	611	2243	38	33	
94	586	2288	64	33	
Then	494	1646	111	49	
is	624	1644	34	50	
my	678	1643	69	50	
strength	764	1643	183	48	
by	966	1640	54	50	
thee	1042	1640	93	49	
renewed	1153	1638	182	49	
;	1350	1636	7	50	
Then	548	1694	111	49	
are	681	1693	67	50	
my	772	1693	67	49	
sins	859	1692	80	50	
by	968	1692	52	50	
thee	1044	1691	92	50	
forgiven	1161	1691	182	49	
,	1345	1690	13	50	
Then	492	1748	113	46	
dost	626	1747	87	47	
thou	732	1746	99	47	
cheer	851	1746	115	46	
my	996	1745	67	47	
solitude	1082	1745	171	46	
With	549	1805	117	45	
hopes	682	1802	122	46	
of	822	1800	48	47	
heaven	882	1799	155	46	
.	1040	1797	11	47	
WHAT	529	1883	130	38	
A	679	1883	28	38	
FRIEND	726	1884	155	38	
,	887	1884	7	38	
8s	921	1885	43	38	
&	988	1885	28	38	
7s	1037	1885	42	38	
.	1084	1886	6	38	
D.	1113	1886	36	38	
"	1169	1886	17	38	
Cast	1195	1886	72	39	
all	1281	1887	46	38	
your	1337	1887	77	38	
care	1427	1888	68	38	
upon	1509	1888	78	38	
him	1602	1888	64	39	
.	1670	1889	13	38	
"	1678	1889	18	38	
What	647	2112	69	33	
a	739	2112	14	33	
friend	774	2112	75	33	
we	867	2112	35	33	
have	920	2112	56	33	
in	1010	2112	24	33	
Jesus	1080	2112	117	33	
,	1199	2112	8	33	
All	1289	2107	44	42	
our	1350	2107	44	42	
sins	1410	2107	49	42	
and	1481	2107	49	42	
griefs	1537	2107	72	42	
to	1621	2107	23	42	
bear	1668	2107	55	42	
!	1730	2107	9	42	
E	997	2217	76	93	
Fine	1137	2371	94	20	
.	1236	2371	9	20	
3	1442	1423	24	39	
No	1495	1423	63	39	
words	1581	1423	124	39	
can	1725	1423	74	39	
tell	1820	1423	70	39	
what	1912	1423	106	39	
sweet	2037	1423	117	39	
relief	2184	1423	121	39	
Here	1495	1475	112	49	
for	1628	1475	63	49	
my	1711	1476	66	49	
every	1798	1476	120	50	
want	1944	1477	107	49	
I	2071	1478	20	49	
find	2110	1478	84	49	
;	2206	1478	11	49	
What	1443	1530	125	49	
strength	1588	1530	183	49	
for	1792	1530	59	49	
warfare	1872	1530	167	49	
,	2045	1530	7	49	
balm	2077	1530	105	49	
for	2205	1530	44	49	
grief	2272	1530	77	49	
What	1494	1586	126	49	
peace	1639	1584	122	49	
of	1780	1583	46	50	
mind	1843	1582	108	50	
!	1966	1581	11	50	
Lord	1442	1637	106	51	
!	1561	1637	11	51	
till	1603	1637	62	51	
I	1685	1637	20	51	
reach	1728	1637	119	51	
yon	1867	1637	79	51	
blissful	1966	1637	157	51	
shore	2140	1637	116	51	
,	2258	1637	10	51	
No	1492	1694	66	49	
privilege	1579	1692	198	48	
so	1795	1690	42	50	
dear	1856	1689	96	49	
shall	1969	1688	105	49	
be	2086	1686	51	50	
As	1439	1740	58	49	
thus	1521	1741	92	49	
my	1639	1742	66	49	
inmost	1726	1743	145	51	
soul	1893	1745	85	50	
to	1995	1746	43	50	
pour	2058	1747	101	50	
In	1490	1802	56	47	
prayer	1561	1799	149	44	
to	1726	1794	43	47	
thee	1786	1792	95	45	
.	1880	1789	11	49	
D	584	2758	24	28	
195	501	2833	120	49	
Anon	1293	2852	84	20	
.	1381	2852	7	20	
2	497	2904	28	51	
Have	551	2904	123	51	
we	695	2904	58	51	
trials	772	2904	112	51	
and	905	2904	78	51	
temptations	1015	2904	259	51	
?	1285	2904	23	51	
Is	553	2961	39	48	
there	609	2961	113	48	
trouble	742	2961	159	48	
anywhere	932	2961	212	48	
?	1156	2961	18	48	
We	498	3008	82	53	
should	595	3008	143	53	
never	758	3008	125	53	
be	906	3008	50	53	
discouraged	978	3008	258	53	
,	1241	3008	10	53	
Take	552	3063	109	48	
it	680	3064	30	47	
to	732	3065	39	47	
the	793	3065	69	48	
Lord	888	3067	107	48	
in	1016	3068	40	47	
prayer	1078	3069	145	48	
.	1226	3071	9	47	
Can	500	3121	85	45	
we	606	3120	55	46	
find	680	3120	85	45	
a	789	3119	23	46	
Friend	835	3119	151	45	
so	1007	3118	42	46	
faithful	1070	3117	164	46	
,	1239	3117	8	46	
Who	552	3177	103	37	
will	679	3175	81	38	
all	780	3174	54	38	
our	853	3174	74	37	
sorrows	949	3173	162	37	
share	1130	3171	116	38	
?	1255	3170	19	38	
Jesus	499	3227	116	50	
knows	631	3227	138	50	
our	788	3227	75	50	
every	893	3227	119	50	
weakness	1036	3227	201	50	
,	1239	3227	9	50	
Take	550	3275	112	49	
it	683	3276	33	49	
to	736	3276	40	49	
the	800	3277	70	49	
Lord	891	3277	107	50	
in	1019	3278	40	49	
prayer	1082	3279	144	50	
.	1229	3280	10	49	
E.	1968	418	27	17	
MAUDE	2011	418	114	17	
CLINE	2150	418	91	17	
.	2247	418	6	17	
Ev'ry	625	2556	97	42	
thing	737	2556	69	42	
to	831	2556	25	42	
God	879	2556	50	42	
in	964	2556	25	42	
pray'r	1011	2556	79	42	
!	1098	2556	9	42	
