content	x	y	w	h	
THE	789	209	101	25	
CHRISTIAN'S	930	209	354	25	
DEATH	1323	209	177	25	
.	1513	209	11	25	
969	231	290	112	47	
C.	364	330	27	18	
M.	404	330	35	18	
Fob	594	322	52	30	
3	660	323	15	28	
:	684	324	9	28	
17-20	713	325	83	30	
.	797	328	6	28	
How	233	361	101	49	
still	356	361	84	50	
and	459	362	77	49	
peaceful	555	362	183	50	
is	756	363	31	49	
the	809	364	69	49	
grave	897	364	123	50	
!	1033	365	12	49	
Where	287	419	148	47	
,	439	419	8	47	
life's	465	419	100	47	
vain	586	419	92	47	
tumults	700	419	167	47	
past	889	419	93	47	
,	985	419	9	47	
The	233	473	90	47	
appointed	341	473	214	47	
house	570	473	124	47	
,	697	473	6	47	
by	721	473	51	47	
heaven's	790	473	182	47	
decree	990	473	139	47	
,	1132	473	9	47	
Receives	287	528	191	33	
us	498	528	45	33	
all	564	528	60	33	
at	640	528	43	33	
last	697	528	85	33	
.	784	528	10	33	
R.	999	328	29	16	
BLAIR	1043	328	88	16	
.	1135	328	6	16	
2	232	598	26	55	
The	284	597	91	54	
wicked	385	596	155	53	
there	549	594	115	54	
from	674	593	101	54	
troubling	789	591	204	53	
cease	1006	589	116	54	
;	1129	588	12	55	
Their	288	651	123	48	
passions	426	653	181	50	
rage	628	656	95	49	
no	742	658	50	48	
more	813	659	107	49	
;	931	661	11	47	
And	235	706	91	47	
there	343	706	112	47	
the	471	707	71	47	
weary	558	707	131	47	
pilgrim	711	708	156	47	
rests	887	708	103	48	
From	285	760	117	36	
all	425	760	57	36	
the	498	760	68	36	
toils	586	760	92	36	
he	700	760	46	36	
bore	768	760	92	36	
.	864	760	9	36	
3	230	829	30	55	
There	282	828	138	54	
servants	450	826	182	54	
,	638	824	7	55	
masters	680	824	168	53	
,	854	822	9	55	
small	901	822	118	54	
and	1062	820	78	54	
Partake	284	885	174	41	
the	477	889	69	38	
same	566	891	107	40	
repose	694	894	136	40	
;	845	898	13	37	
And	230	942	91	46	
there	341	941	110	46	
,	456	940	6	47	
in	484	940	41	47	
peace	544	940	122	46	
,	672	939	7	47	
the	699	939	68	46	
ashes	789	938	115	46	
mix	923	937	81	47	
Of	283	992	58	39	
those	354	992	115	39	
who	489	992	88	40	
once	598	993	97	39	
were	716	993	102	40	
foes	835	994	85	39	
.	925	994	10	39	
[	994	890	22	46	
great	1011	889	115	46	
,	1128	889	9	46	
4	226	1066	27	49	
All	281	1065	72	49	
,	355	1065	8	49	
leveled	383	1065	157	48	
by	559	1064	50	49	
the	631	1063	66	49	
hand	718	1063	107	49	
of	844	1062	43	49	
death	912	1062	118	49	
,	1033	1061	11	49	
Lie	283	1119	71	46	
sleeping	372	1119	178	46	
in	569	1120	40	46	
