content	x	y	w	h	
HYMNS	1060	329	535	85	
FROM	1681	336	428	84	
"	492	500	44	71	
WINDOWS	553	500	557	75	
OF	1187	505	131	72	
HEAVEN	1406	507	437	75	
"	1859	511	35	71	
SONG	1985	512	283	74	
BOOK	2353	515	283	74	
.	2648	518	18	71	
Let	1595	680	77	36	
those	1690	681	119	38	
refuse	1826	683	141	38	
to	1983	686	43	36	
sing	2043	686	92	38	
Who	1635	725	110	42	
never	1764	726	129	43	
knew	1911	728	120	42	
our	2054	730	73	42	
God	2146	731	89	42	
;	2239	732	11	41	
But	1590	772	83	43	
children	1691	773	186	45	
of	1896	776	48	43	
the	1958	777	69	44	
heav'nly	2046	778	195	46	
King	2262	781	114	44	
,	2382	783	9	43	
But	1588	820	85	40	
children	1690	821	186	42	
of	1899	824	46	41	
the	1959	825	71	41	
heav'nly	2049	826	195	43	
King	2267	830	115	41	
,	2388	831	8	40	
THE	537	682	106	34	
PRIZE	672	682	155	35	
IS	858	684	45	34	
SET	933	684	97	34	
BEFORE	1060	685	216	35	
US	1305	686	65	35	
.	1376	687	10	34	
The	585	783	91	39	
prize	692	783	110	40	
is	816	785	35	39	
set	870	785	59	39	
before	953	786	142	40	
us	1114	787	46	39	
To	586	828	57	38	
win	662	828	75	38	
,	743	828	7	38	
our	773	828	75	38	
Lord	868	829	104	38	
implores	992	829	195	39	
us	1206	830	45	38	
!	1258	830	10	38	
The	586	871	88	40	
eye	692	871	73	40	
of	783	872	44	40	
God	846	872	87	41	
is	953	873	31	40	
o'er	1004	873	84	41	
us	1106	874	46	40	
,	1158	874	11	40	
From	588	914	119	40	
on	727	915	52	40	
high	798	916	101	41	
,	908	917	5	40	
from	936	917	106	41	
on	1062	919	52	40	
high	1133	920	102	41	
!	1239	921	12	40	
His	584	958	73	41	
loving	673	959	142	42	
tones	834	960	118	42	
are	968	962	68	41	
falling	1053	963	150	42	
,	1206	965	8	41	
While	584	999	137	43	
sin	737	1001	63	42	
is	814	1003	34	41	
dark	866	1004	104	42	
,	977	1006	6	41	
appaling	1002	1006	200	44	
;	1208	1010	9	41	
'	581	1043	14	43	
Tis	602	1043	65	44	
Jesus	688	1044	118	45	
gently	826	1047	144	45	
calling	985	1049	150	45	
He	586	1093	61	39	
is	666	1093	31	40	
nigh	717	1094	99	40	
,	823	1095	9	39	
He	854	1095	62	40	
is	934	1096	31	40	
nigh	984	1097	101	40	
.	1090	1098	9	39	
CHO	475	1159	90	42	
.	568	1159	11	42	
-	581	1159	33	42	
By	627	1160	65	42	
and	709	1160	82	43	
by	811	1161	55	42	
we	886	1161	57	43	
shall	962	1162	107	43	
meet	1087	1163	107	42	
Him	1215	1164	95	42	
,	1316	1164	10	42	
By	628	1205	63	40	
and	708	1205	83	41	
by	811	1206	55	41	
we	887	1207	56	40	
shall	962	1208	103	41	
greet	1086	1209	114	41	
Him	1217	1210	93	41	
,	1318	1211	10	40	
And	627	1243	93	41	
with	741	1245	98	42	
Jesus	862	1247	118	42	
reign	1000	1250	114	41	
in	1134	1252	40	41	
glory	1194	1253	117	42	
,	1316	1256	8	40	
By	627	1295	62	40	
and	708	1295	82	41	
by	812	1296	54	40	
,	871	1296	8	40	
by	900	1297	56	40	
and	970	1297	81	41	
by	1071	1298	55	40	
;	1131	1298	11	40	
By	626	1338	62	38	
and	706	1338	84	38	
by	808	1339	55	38	
we	883	1339	58	39	
shall	960	1340	107	38	
meet	1081	1341	109	38	
Him	1209	1342	93	38	
,	1308	1342	8	38	
By	627	1382	61	40	
and	707	1382	84	41	
by	808	1383	57	40	
we	883	1384	59	40	
shall	961	1385	105	41	
greet	1085	1386	117	41	
Him	1222	1387	94	41	
,	1324	1388	11	40	
And	623	1419	91	43	
with	737	1421	99	44	
Jesus	857	1423	118	44	
reign	995	1426	114	43	
in	1135	1428	38	43	
glory	1193	1429	118	44	
,	1314	1432	11	42	
By	621	1471	62	38	
and	702	1471	83	39	
by	804	1472	54	39	
.	861	1473	10	38	
We	579	1536	71	32	
follow	670	1536	135	33	
where	829	1537	133	33	
He	985	1538	59	33	
leadeth	1061	1539	168	33	
We	577	1583	74	38	
pasture	668	1583	173	38	
where	859	1583	137	38	
He	1019	1583	60	38	
feedeth	1097	1583	168	38	
We	579	1623	71	38	
yield	669	1624	109	39	
to	797	1625	44	38	
Him	862	1626	93	39	
who	977	1627	93	39	
pleadeth	1086	1629	199	40	
From	580	1669	117	37	
on	719	1670	51	37	
high	791	1671	98	38	
,	898	1672	7	37	
from	924	1673	107	37	
on	1051	1674	50	37	
high	1122	1675	102	38	
!	1229	1676	12	37	
For	577	1711	79	43	
naught	674	1712	165	45	
from	854	1714	104	44	
Him	983	1716	91	44	
can	1097	1718	75	43	
sever	1192	1719	115	44	
;	1312	1721	11	43	
Our	576	1756	84	40	
hope	678	1757	108	41	
shall	804	1759	105	41	
brighten	928	1762	198	42	
ever	1145	1765	95	41	
;	1245	1767	10	39	
And	576	1801	89	33	
faith	686	1802	107	34	
shall	814	1805	106	33	
fail	938	1807	74	33	
us	1032	1808	45	33	
never	1097	1810	127	33	
He	577	1847	58	38	
is	655	1848	31	38	
nigh	707	1848	95	40	
