content	x	y	w	h	
No.	521	265	126	62	
137	691	267	97	62	
.	792	269	11	61	
FRANCES	552	352	192	27	
R.	766	351	34	27	
HAVERGAL	823	350	241	27	
.	1070	349	7	28	
2	585	755	40	37	
-4	578	804	42	37	
4	585	478	33	37	
1.	545	576	29	38	
Light	611	576	91	38	
af-	715	576	41	38	
ter	768	576	44	38	
darkness	841	576	135	38	
,	981	576	4	38	
Gain	989	576	72	38	
af	1098	576	31	38	
-	1130	576	9	38	
ter	1141	576	43	38	
loss	1206	576	56	38	
,	1267	576	5	38	
Strength	1277	576	138	38	
after	1427	576	77	38	
wea	1514	576	58	38	
-	1583	576	10	38	
ri	1605	576	24	38	
-	1639	576	11	38	
ness	1661	576	62	38	
,	1728	576	4	38	
Crown	1736	576	97	38	
af-	1857	576	50	38	
ter	1920	576	45	38	
cross	1980	576	78	38	
.	2060	576	6	38	
2.	545	618	32	39	
Sheaves	587	618	124	39	
af	721	618	34	39	
-	752	618	12	39	
ter	765	618	45	39	
sow	854	618	57	39	
-	912	618	11	39	
ing	924	618	49	39	
,	979	618	5	39	
Sun	1002	618	59	39	
af	1093	618	32	39	
-	1126	618	11	39	
ter	1138	618	42	39	
rain	1204	618	64	39	
,	1272	618	7	39	
Sight	1282	618	84	39	
af-	1389	618	44	39	
ter	1447	618	43	39	
mys	1513	618	61	39	
-	1578	618	9	39	
ter	1589	618	43	39	
-	1657	618	12	39	
y	1682	618	20	39	
,	1705	618	7	39	
Peace	1741	618	88	39	
af-	1859	618	49	39	
ter	1923	618	42	39	
pain	1989	618	68	39	
.	2059	618	5	39	
3.	546	658	32	38	
Near	617	658	77	38	
af	724	658	32	38	
-	755	658	10	38	
ter	767	658	45	38	
dis	859	658	40	38	
-	903	658	10	38	
tant	914	658	65	38	
,	983	658	6	38	
Gleam	992	658	96	38	
after	1102	658	76	38	
gloom	1189	658	90	38	
,	1284	658	5	38	
Love	1294	658	73	38	
af-	1390	658	43	38	
ter	1446	658	42	38	
lone	1525	658	65	38	
-	1591	658	9	38	
li	1602	658	21	38	
-	1634	658	10	38	
ness	1651	658	62	38	
,	1719	658	4	38	
Life	1747	658	66	38	
af-	1857	658	54	38	
ter	1923	658	43	38	
tomb	1988	658	76	38	
.	2067	658	6	38	
Crown	963	263	212	67	
After	1230	263	167	67	
Cross	1435	263	195	67	
.	1634	263	19	67	
abp	1542	892	154	156	
Sweet	572	1077	92	38	
af	676	1077	31	38	
-	707	1077	10	38	
ter	720	1077	44	38	
bit	806	1077	44	38	
-	862	1077	11	38	
ter	883	1077	41	38	
,	930	1077	3	38	
Song	948	1077	74	38	
af	1045	1077	30	38	
-	1077	1077	10	38	
ter	1088	1077	45	38	
fears	1153	1077	77	38	
,	1234	1077	6	38	
Home	1297	1077	87	37	
af	1398	1077	32	37	
-	1430	1077	11	37	
ter	1441	1077	45	37	
wan	1515	1077	63	37	
-	1581	1077	8	37	
der	1592	1077	47	37	
-	1648	1077	10	37	
ing	1670	1077	51	37	
,	1725	1077	5	37	
Praise	1732	1077	99	37	
af	1846	1077	35	37	
-	1887	1077	13	37	
ter	1908	1077	47	37	
tears	1965	1077	77	37	
.	2044	1077	7	37	
Joy	592	1119	57	38	
af	678	1119	33	38	
-	710	1119	11	38	
ter	723	1119	43	38	
sorrow	803	1119	131	38	
,	937	1119	5	38	
Calm	946	1119	78	38	
af	1046	1119	31	38	
-	1079	1119	9	38	
ter	1091	1119	42	38	
blast	1158	1119	77	38	
,	1238	1119	5	38	
Rest	1304	1120	69	33	
af	1395	1120	31	33	
-	1425	1120	11	33	
ter	1438	1120	44	33	
wea	1517	1120	62	33	
-	1589	1120	10	33	
ri	1610	1120	25	33	
-	1637	1120	9	33	
ness	1656	1120	63	33	
,	1724	1120	5	33	
Sweet	1734	1120	90	33	
rest	1834	1120	60	33	
at	1909	1120	31	33	
last	1974	1120	60	33	
.	2036	1120	7	33	
Now	550	1160	70	41	
comes	631	1160	90	41	
the	735	1160	50	41	
weeping	792	1160	128	41	
,	924	1160	6	41	
Then	932	1160	78	41	
the	1023	1160	50	41	
glad	1085	1160	67	41	
reaping	1164	1160	118	41	
;	1293	1160	6	41	
Now	1313	1160	68	41	
comes	1392	1160	88	41	
the	1493	1160	49	41	
labor	1553	1160	79	41	
hard	1645	1160	71	41	
,	1720	1160	4	41	
Then	1750	1160	80	41	
the	1843	1160	50	41	
re-	1916	1160	54	41	
ward	1978	1160	79	41	
.	2057	1160	6	41	
Copyright	980	1375	154	30	
,	1136	1375	5	30	
1884	1155	1375	55	30	
,	1216	1375	4	30	
by	1233	1375	35	30	
A.	1282	1375	33	30	
J.	1332	1375	26	30	
SHOWALTER	1378	1375	189	30	
.	1572	1375	7	30	
No.	529	1431	129	79	
138.	698	1431	123	79	
Lord	865	1431	159	79	
,	1025	1431	15	79	
Bring	1085	1431	203	79	
Wanderers	1331	1431	353	79	
Home	1726	1431	175	79	
.	1902	1431	18	79	
B.	556	1519	36	24	
M.	607	1519	45	24	
R.	673	1519	36	24	
B.	1547	1517	33	26	
MANSELL	1603	1516	202	26	
RAMSEY	1829	1515	177	27	
.	2008	1514	7	27	
Slowly	589	1550	135	44	
with	735	1551	90	44	
feeling	832	1552	144	45	
.	979	1553	11	44	
6	592	1617	39	38	
8	592	1664	34	40	
6	589	1945	43	34	
6-8	552	1986	79	41	
1.	552	1750	31	40	
Lord	604	1750	99	40	
,	707	1750	6	40	
bring	717	1750	85	40	
some	812	1750	73	40	
wand'rers	898	1750	152	40	
home	1061	1750	112	40	
to	1192	1750	37	40	
-	1232	1750	12	40	
night	1250	1750	109	40	
,	1363	1750	5	40	
Some	1377	1750	111	40	
who	1503	1750	83	40	
have	1600	1750	96	40	
gone	1710	1750	100	40	
a	1821	1750	23	40	
-	1864	1750	15	40	
stray	1902	1752	103	36	
,	2007	1752	12	36	
2.	552	1797	30	38	
May	610	1796	87	39	
none	713	1796	98	38	
Thy	827	1795	80	39	
mercy	921	1795	127	38	
spurn	1061	1794	118	39	
to	1191	1794	38	39	
-	1232	1794	11	39	
night	1249	1793	110	39	
,	1365	1793	5	39	
The	1401	1793	76	39	
Holy	1505	1792	149	39	
Spirit	1680	1792	162	38	
grieve	1907	1794	128	36	
,	2038	1795	8	35	
3.	554	1832	33	45	
Let	613	1832	72	45	
none	699	1832	99	45	
unblest	822	1832	153	45	
de	1014	1832	44	45	
-	1061	1832	12	45	
part	1078	1832	86	45	
to	1192	1832	38	45	
-	1231	1832	13	45	
night	1249	1832	109	45	
,	1363	1832	6	45	
Unsaved	1419	1832	176	45	
and	1610	1832	74	45	
un-	1708	1832	79	45	
for	1803	1832	62	45	
-	1878	1832	15	45	
giv'n	1909	1832	104	45	
,	2017	1832	10	45	
B	556	2987	21	26	
Oh	572	2296	44	38	
,	618	2296	6	38	
give	636	2296	66	38	
them	711	2296	80	38	
grace	801	2296	83	38	
to	895	2296	29	38	
come	961	2296	75	38	
to	1074	2296	29	38	
-	1104	2296	12	38	
night	1115	2296	85	38	
,	1206	2296	3	38	
Let	1225	2296	51	38	
them	1290	2296	78	38	
no	1380	2296	35	38	
more	1425	2296	75	38	
de-	1515	2296	68	38	
lay	1601	2296	51	38	
.	1654	2296	7	38	
May	573	2339	70	38	
prod	654	2338	69	39	
-	733	2338	14	39	
i	756	2338	11	39	
-	779	2338	14	39	
gals	802	2338	64	38	
return	899	2337	135	39	
to	1073	2337	28	39	
-	1102	2337	11	39	
night	1115	2337	84	38	
,	1205	2336	3	39	
May	1226	2336	66	39	
sin	1309	2336	41	39	
-	1353	2336	9	39	
ners	1365	2336	66	38	
now	1443	2335	59	39	
be	1517	2335	33	39	
lieve	1603	2335	74	39	
.	1679	2334	8	39	
0	615	2381	21	42	
-	644	2380	13	42	
ver	665	2380	48	42	
some	725	2380	73	42	
yielding	811	2380	129	41	
heart	969	2379	81	42	
to	1075	2379	26	42	
-	1104	2378	9	42	
night	1116	2378	84	42	
,	1205	2378	4	42	
Let	1234	2378	53	42	
there	1302	2378	79	41	
be	1392	2377	31	42	
joy	1444	2377	50	42	
in	1516	2377	33	42	
heav'n	1606	2383	102	26	
.	1711	2383	9	26	
1st	811	2635	63	30	
.	874	2635	9	30	
night	574	2833	83	39	
,	662	2833	4	39	
Lord	674	2833	73	39	
,	751	2833	4	39	
Bring	781	2833	89	39	
wand'rers	882	2833	152	39	
home	1056	2833	82	39	
to	1156	2833	29	39	
night	1252	2833	85	39	
,	1340	2833	6	39	
