content	x	y	w	h	
PENITENTIAL	939	341	307	29	
EXERCISES	1278	341	243	29	
.	1527	341	8	29	
circumstances	363	437	259	48	
must	645	438	89	47	
have	759	439	85	47	
been	867	439	81	48	
powerful	972	440	162	48	
.	1140	441	8	47	
John	1188	441	89	47	
325	1315	442	131	47	
Wesley's	365	489	154	30	
sermon	544	488	126	30	
on	697	487	37	31	
the	762	486	54	31	
Means	860	486	112	30	
of	997	485	34	31	
Grace	1060	485	103	30	
'	1172	484	11	31	
-	1182	484	25	31	
ex	1216	484	41	31	
haustive	364	531	154	36	
and	539	531	67	36	
practical	627	531	161	36	
-	790	531	26	36	
was	825	531	67	36	
preached	912	531	162	36	
about	1095	531	99	36	
this	1211	531	67	36	
time	365	577	79	24	
.	450	577	7	24	
"	460	577	15	24	
324	364	763	136	44	
L.	765	770	41	30	
M.	829	769	51	30	
A	356	825	79	86	
BROKEN	444	820	206	46	
heart	668	821	104	45	
,	776	822	6	45	
my	800	822	62	45	
God	877	822	79	46	
,	961	823	6	45	
my	984	823	65	45	
King	1067	823	105	46	
,	1171	824	10	45	
To	450	879	50	37	
thee	516	879	87	37	
a	620	879	20	37	
sacrifice	656	879	161	38	
I	834	880	17	37	
bring	870	880	108	38	
;	988	881	9	37	
The	408	931	80	43	
God	505	931	82	43	
of	602	931	46	43	
grace	661	931	107	43	
will	784	931	77	43	
ne'er	878	931	97	43	
despise	993	931	145	43	
A	408	989	34	34	
broken	458	989	144	34	
heart	619	989	106	34	
for	742	989	53	34	
sacrifice	813	989	160	34	
.	975	989	8	34	
2	362	1078	23	43	
My	409	1077	65	43	
soul	487	1077	82	43	
lies	584	1077	66	42	
humbled	668	1076	181	43	
in	866	1076	38	43	
the	924	1075	66	43	
dust	1005	1075	85	43	
,	1092	1075	9	43	
And	408	1132	88	42	
owns	513	1132	104	42	
thy	633	1132	71	42	
dreadful	721	1132	170	42	
sentence	907	1132	174	42	
just	1093	1132	78	42	
:	1180	1132	10	42	
Look	410	1187	102	43	
down	529	1187	112	43	
,	645	1187	7	43	
O	669	1187	29	43	
Lord	717	1187	95	43	
,	817	1187	6	43	
with	841	1187	90	43	
pitying	950	1187	147	43	
eye	1112	1187	69	43	
,	1182	1187	9	43	
And	408	1246	85	33	
save	506	1245	87	33	
the	608	1244	65	33	
soul	690	1243	79	34	
condemned	786	1242	233	33	
to	1038	1240	35	34	
die	1092	1240	59	33	
.	1154	1239	7	34	
3	363	1325	23	43	
Then	408	1325	106	44	
will	533	1326	79	43	
I	624	1327	20	43	
teach	661	1327	104	44	
the	784	1328	65	43	
world	867	1329	114	44	
thy	997	1330	69	43	
ways	1085	1331	99	43	
;	1195	1332	10	43	
Sinners	408	1382	153	41	
shall	576	1383	101	41	
learn	690	1384	101	41	
thy	810	1385	68	40	
sovereign	893	1386	191	41	
grace	1102	1388	105	40	
;	1216	1389	9	40	
I'll	411	1439	61	43	
lead	483	1439	84	43	
them	583	1439	104	43	
to	705	1439	38	43	
my	760	1439	63	43	
Saviour's	843	1439	177	43	
blood	1039	1439	110	43	
,	1151	1439	10	43	
And	410	1495	88	44	
they	514	1495	90	44	
shall	621	1495	97	44	
praise	734	1495	120	44	
a	869	1495	21	44	
pard'ning	908	1495	195	44	
God	1120	1495	82	44	
.	1204	1495	8	44	
This	403	1868	76	31	
is	497	1867	28	32	
a	546	1867	18	32	
portion	584	1867	127	31	
of	733	1866	35	32	
part	789	1866	77	31	
three	886	1865	89	32	
of	997	1865	32	32	
the	1057	1864	53	32	
author's	1137	1864	147	31	
metrical	369	1909	152	34	
version	544	1909	127	34	
of	698	1909	34	34	
the	761	1909	54	34	
fifty	845	1909	71	34	
-	930	1909	11	34	
first	953	1909	71	34	
Psalm	1047	1909	106	34	
,	1160	1909	7	34	
being	1185	1909	100	34	
based	368	1954	102	33	
more	483	1954	89	33	
immediately	585	1954	227	33	
on	826	1954	41	33	
the	882	1954	55	33	
seventeenth	950	1954	211	33	
verse	1177	1954	93	33	
:	1275	1954	11	33	
The	403	1996	66	32	
sacrifices	498	1996	163	32	
of	694	1996	35	32	
God	759	1996	68	32	
are	859	1996	56	32	
a	941	1996	17	32	
broken	983	1996	122	32	
spirit	1128	1996	97	32	
;	1233	1996	7	32	
a	1267	1996	19	32	
broken	370	2042	123	30	
and	509	2042	65	30	
a	590	2042	19	30	
contrite	627	2042	140	30	
heart	787	2042	94	30	
,	886	2042	5	30	
O	906	2042	25	30	
God	951	2042	67	30	
,	1023	2042	6	30	
thou	1045	2042	77	30	
wilt	1138	2042	74	30	
not	1229	2042	58	30	
despise	371	2088	127	32	
.	502	2087	9	33	
"	513	2087	16	33	
The	569	2086	68	33	
author's	657	2086	144	32	
title	822	2084	72	33	
is	914	2084	26	33	
,	946	2084	6	33	
"	974	2083	18	33	
The	1002	2083	65	33	
Backslider	1093	2083	192	32	
Restored	372	2134	156	32	
;	533	2132	11	33	
or	561	2132	36	33	
,	602	2132	8	33	
Repentance	627	2132	208	31	
and	851	2130	69	33	
Faith	940	2129	97	33	
in	1058	2129	33	32	
the	1112	2128	53	33	
Blood	1183	2128	101	32	
of	369	2180	40	26	
Christ	435	2178	111	25	
.	548	2176	13	27	
"	558	2175	19	27	
The	628	2176	65	26	
first	718	2175	71	27	
four	818	2175	74	27	
verses	923	2174	108	27	
are	1064	2174	55	27	
omitted	1149	2173	137	27	
above	371	2222	105	26	
:	480	2223	11	25	
10	472	2287	58	31	
Thou	546	2287	89	31	
,	640	2287	6	31	
who	663	2287	72	31	
hear'st	749	2287	123	31	
when	886	2287	95	31	
sinners	996	2287	127	31	
cry	1136	2287	57	31	
,	1197	2287	8	31	
Though	507	2333	134	31	
all	656	2331	44	32	
my	712	2331	55	32	
crimes	781	2330	119	32	
before	914	2329	108	32	
thee	1036	2328	72	32	
lie	1122	2328	44	31	
,	1168	2327	8	32	
Behold	507	2372	121	31	
them	643	2373	87	31	
not	745	2374	56	31	
with	816	2374	80	32	
angry	912	2375	104	32	
look	1029	2376	73	32	
,	1107	2377	7	31	
But	507	2421	67	31	
blot	586	2421	68	31	
their	666	2421	86	31	
mem'ry	767	2421	137	31	
from	918	2421	80	31	
thy	1016	2421	58	31	
book	1088	2421	80	31	
.	1174	2421	9	31	
2	471	2500	18	32	
Create	508	2500	118	32	
my	639	2500	56	32	
nature	707	2500	122	32	
pure	842	2500	81	32	
within	938	2500	116	32	
,	1058	2500	8	32	
And	509	2544	77	32	
form	595	2544	82	32	
my	693	2544	54	32	
soul	761	2544	70	32	
averse	846	2544	115	32	
from	975	2544	81	32	
sin	1073	2544	50	32	
:	1132	2544	10	32	
Let	508	2589	60	31	
thy	581	2589	57	31	
good	652	2589	83	31	
Spirit	746	2589	102	31	
ne'er	862	2589	90	31	
depart	965	2589	118	31	
,	1086	2589	7	31	
Nor	509	2633	66	32	
hide	587	2633	76	32	
thy	673	2633	58	32	
presence	745	2633	155	32	
from	913	2633	82	32	
my	1012	2633	54	32	
heart	1078	2633	96	32	
.	1177	2633	7	32	
3	472	2709	17	30	
I	508	2709	14	30	
cannot	536	2709	121	31	
live	664	2710	67	30	
without	747	2710	141	31	
thy	898	2711	59	30	
light	966	2712	90	30	
,	1057	2712	9	30	
Cast	509	2753	79	32	
out	600	2753	58	32	
and	670	2753	66	32	
banished	748	2753	158	32	
from	921	2753	81	32	
thy	1018	2753	57	32	
sight	1091	2753	89	32	
!	1185	2753	10	32	
Thy	508	2797	71	34	
holy	594	2797	75	34	
joys	678	2797	74	34	
,	757	2797	6	34	
my	780	2797	51	34	
God	848	2797	68	34	
,	920	2797	6	34	
restore	943	2797	124	34	
,	1070	2797	8	34	
And	509	2844	78	31	
guard	598	2844	109	31	
me	718	2844	52	31	
that	784	2844	72	31	
I	871	2844	13	31	
fall	899	2844	61	31	
no	972	2844	43	31	
more	1028	2844	89	31	
.	1119	2844	9	31	
4	473	2920	18	35	
Though	510	2920	136	35	
I	660	2920	14	35	
have	689	2920	84	35	
grieved	786	2920	135	35	
thy	936	2920	57	35	
Spirit	1008	2920	102	35	
,	1114	2920	5	35	
Lord	1134	2920	86	35	
,	1223	2920	7	35	
Thy	510	2967	69	30	
help	593	2966	76	31	
and	683	2966	66	31	
comfort	762	2965	138	31	
still	912	2965	67	31	
afford	991	2965	103	30	
;	1101	2964	9	31	
And	511	3010	77	30	
let	600	3010	47	30	
a	661	3010	18	30	
wretch	692	3010	124	30	
come	830	3010	89	30	
near	934	3010	82	30	
thy	1028	3010	59	30	
throne	1101	3010	117	30	
,	1221	3010	9	30	
To	511	3054	45	32	
plead	566	3054	99	32	
the	678	3054	54	32	
merits	746	3054	114	32	
of	872	3054	33	32	
thy	923	3054	58	32	
Son	996	3054	62	32	
.	1063	3054	9	32	
(	412	3110	13	31	
See	425	3110	59	31	
Nos	498	3110	63	31	
.	568	3110	6	31	
310	588	3110	50	31	
,	641	3110	7	31	
and	664	3110	66	31	
325.	742	3110	59	31	
)	806	3110	11	31	
4	362	1587	23	42	
0	411	1586	28	42	
may	458	1586	86	42	
thy	560	1585	71	42	
love	647	1585	85	41	
inspire	748	1584	140	41	
my	904	1583	65	42	
tongue	981	1583	137	41	
!	1131	1582	11	42	
Salvation	411	1633	187	42	
shall	616	1636	96	41	
be	730	1637	44	41	
all	792	1638	48	41	
my	858	1639	62	41	
song	938	1641	91	41	
;	1038	1642	10	40	
And	411	1698	87	39	
all	513	1697	53	39	
my	580	1696	64	40	
powers	662	1695	141	39	
shall	821	1694	95	39	
join	932	1693	79	40	
to	1028	1692	39	40	
bless	1083	1692	96	39	
The	410	1748	79	45	
Lord	507	1746	99	46	
,	607	1745	8	46	
my	631	1745	64	46	
strength	711	1744	167	45	
and	896	1743	75	45	
righteousness	989	1742	272	43	
.	1266	1739	7	46	
6	1319	1738	18	46	
While	1365	1738	126	45	
guilt	1507	1736	94	45	
disturbs	1617	1735	162	45	
and	1795	1733	77	46	
breaks	1889	1732	133	45	
my	2040	1731	67	45	
peace	2117	1730	112	45	
,	2232	1729	10	46	
Isaac	990	1804	98	25	
Watts	1107	1804	96	25	
.	1210	1804	7	25	
Nor	1366	1788	78	37	
flesh	1460	1788	92	38	
nor	1571	1789	69	38	
soul	1655	1790	81	38	
hath	1753	1791	91	38	
rest	1864	1792	74	38	
or	1954	1793	41	37	
ease	2011	1794	85	37	
,	2098	1794	9	37	
Lord	1368	1845	95	43	
,	1467	1845	7	43	
let	1489	1845	52	43	
me	1559	1845	60	43	
hear	1631	1846	91	43	
thy	1738	1846	68	43	
pard'ning	1824	1846	196	44	
voice	2037	1847	105	43	
,	2144	1847	8	43	
And	1364	1901	90	43	
make	1470	1901	113	43	
my	1597	1901	66	43	
broken	1678	1901	144	43	
heart	1843	1901	106	43	
rejoice	1965	1901	132	43	
.	2098	1901	10	43	
L.	1718	451	41	29	
M.	1781	451	50	29	
