content	x	y	w	h	
No.	351	246	110	53	
157.	486	246	130	53	
When	675	246	189	53	
the	897	246	101	53	
Mists	1034	246	165	53	
have	1232	246	153	53	
cleared	1419	246	234	53	
away	1686	246	174	53	
.	1866	246	16	53	
J.	1495	355	34	32	
H.	1550	355	46	33	
ANDERSON	1619	356	215	35	
.	1838	360	9	32	
ANNE	374	360	118	30	
HERBERT	518	360	193	30	
.	709	360	13	30	
&	289	463	104	123	
the	1761	615	63	29	
hills	1840	616	83	30	
,	1927	618	8	29	
1.	391	614	34	40	
When	453	614	113	40	
the	580	614	63	40	
mists	653	614	101	40	
have	766	614	90	40	
roll'd	864	614	105	40	
in	984	614	36	40	
splen	1045	614	99	40	
-	1149	614	12	40	
dor	1164	614	61	40	
From	1245	614	103	40	
the	1374	614	61	40	
beau-	1444	614	107	40	
ty	1564	614	40	40	
of	1648	614	44	40	
in	775	670	39	40	
hu-	860	670	81	40	
man	956	670	83	40	
blindness	1061	670	180	40	
,	1247	670	5	40	
And	1270	670	80	40	
for-	1375	670	66	40	
get	1455	670	56	40	
that	1550	670	81	40	
we	1647	670	53	40	
2	390	676	24	27	
.	414	675	9	27	
If	496	673	37	28	
we	577	677	49	28	
err	653	680	52	29	
,	709	683	4	26	
are	1768	675	59	32	
dust	1843	674	83	32	
,	1928	673	7	33	
3.	394	728	32	30	
When	454	728	114	30	
the	578	728	63	30	
mists	651	728	101	30	
have	764	728	89	30	
ris'n	862	728	85	30	
a-	988	728	29	30	
bove	1036	728	87	30	
us	1183	727	43	38	
,	1229	727	7	38	
And	1264	727	82	38	
our	1370	727	67	38	
Fath-	1450	727	102	38	
er	1571	727	36	38	
knows	1623	727	122	38	
His	1765	727	66	38	
own	1845	727	79	38	
,	1927	727	9	38	
4	441	843	38	35	
224	370	889	111	36	
k	389	1513	30	36	
22	369	1557	59	38	
4	440	471	41	36	
4	443	515	36	38	
b	388	2157	30	39	
bb	366	2205	65	36	
-b	371	2814	45	33	
on	1638	1292	43	18	
And	460	1281	84	37	
the	560	1281	62	37	
sun	632	1281	66	37	
-	700	1281	13	37	
shine	714	1281	102	37	
,	820	1281	6	37	
warm	841	1281	105	37	
and	959	1281	69	37	
ten-	1043	1281	90	37	
der	1150	1281	60	37	
,	1215	1281	6	37	
Falls	1240	1281	95	37	
in	1366	1281	36	37	
kiss	1421	1281	73	37	
-	1509	1281	16	37	
es	1548	1281	36	37	
If	475	1341	40	28	
we	556	1340	51	29	
miss	617	1340	85	29	
the	739	1339	62	29	
law	823	1339	68	29	
of	958	1337	43	34	
kind	1025	1337	89	34	
-	1117	1337	11	34	
ness	1133	1338	78	34	
When	1226	1338	111	35	
we	1356	1339	50	34	
struggle	1423	1339	181	35	
to	1640	1341	37	34	
Face	453	1393	92	37	
to	568	1393	36	37	
face	620	1393	77	37	
with	720	1393	89	37	
those	824	1393	98	37	
that	938	1393	79	37	
love	1033	1393	78	37	
us	1159	1393	39	37	
,	1203	1393	7	37	
We	1233	1393	63	37	
shall	1327	1393	93	37	
know	1432	1393	105	37	
as	1546	1393	40	37	
we	1634	1405	53	16	
We	462	1933	63	39	
may	548	1932	83	40	
read	639	1932	83	40	
love's	736	1932	107	39	
shin	856	1931	78	40	
-	940	1931	9	40	
ing	952	1931	61	40	
let	1039	1930	54	40	
ter	1153	1934	55	25	
In	1273	1933	49	27	
the	1380	1926	62	35	
rain	1455	1927	75	36	
-	1535	1928	12	35	
bow	1551	1929	76	36	
of	1664	1930	37	36	
the	1744	1932	60	36	
spray	1821	1933	101	37	
