content	x	y	w	h	
No.	249	278	104	56	
91	373	278	67	56	
JOSEPHINE	337	404	221	31	
POLLARD	575	404	183	31	
.	763	404	9	31	
62,2	241	1972	157	95	
BEYOND	682	279	280	58	
THE	999	279	138	58	
SUNSET	1172	279	262	58	
.	1441	279	15	58	
4	409	520	41	34	
4	407	565	40	34	
所	278	2606	122	138	
DUET	467	461	110	29	
OR	593	461	48	29	
SEMI	658	461	98	29	
-	758	461	12	29	
CHORUS	773	461	153	29	
.	931	461	9	29	
बही	895	1193	164	133	
Where	401	1368	129	41	
gold	541	1368	81	41	
-	625	1368	11	41	
en	639	1368	43	41	
glo	713	1368	56	41	
-	772	1368	11	41	
ries	786	1368	68	41	
ev	891	1368	39	41	
-	941	1368	13	41	
er	967	1368	35	41	
shine	1041	1368	102	41	
,	1146	1368	6	41	
Beyond	1172	1368	144	41	
the	1332	1368	61	41	
thought	1405	1368	153	41	
of	1571	1368	38	41	
day's	1618	1368	99	41	
decline	1729	1368	139	41	
.	1868	1368	9	41	
Where	375	1424	130	39	
clouds	514	1424	120	39	
and	645	1424	71	39	
darkness	725	1424	171	39	
never	904	1424	106	39	
come	1042	1424	96	39	
,	1143	1424	6	39	
My	1167	1424	62	39	
soul	1254	1424	79	39	
shall	1346	1424	93	39	
find	1447	1424	74	39	
its	1532	1424	47	39	
heavenly	1587	1424	171	39	
home	1770	1424	101	39	
.	1874	1424	9	39	
And	415	1482	82	38	
morning's	513	1481	194	38	
lovely	716	1480	118	39	
beams	843	1479	120	39	
a	976	1479	22	39	
-	1013	1479	12	39	
rise	1042	1478	70	39	
Up	1169	1483	57	36	
-	1249	1484	14	36	
on	1287	1484	45	36	
my	1378	1484	60	33	
mansion	1452	1483	160	32	
in	1625	1481	39	33	
the	1688	1480	62	33	
skies	1762	1479	93	33	
.	1856	1478	10	34	
And	409	1536	82	30	
Je	551	1535	47	42	
-	608	1535	17	42	
sus	632	1535	61	42	
bids	704	1535	83	42	
my	799	1535	62	42	
soul	872	1535	79	42	
pre	960	1535	61	42	
-	1021	1535	15	42	
pare	1043	1535	84	42	
To	1167	1535	50	42	
gain	1274	1535	83	42	
a	1397	1535	20	42	
hap	1451	1535	68	42	
-	1520	1535	13	42	
py	1535	1535	48	42	
entrance	1599	1535	167	42	
there	1770	1535	104	42	
.	1871	1535	10	42	
非	1716	1640	120	85	
1	409	664	21	40	
Be	476	664	50	40	
-	537	664	14	40	
yond	563	664	95	40	
the	682	664	63	40	
sunset's	757	664	151	40	
radiant	927	664	139	40	
glow	1083	664	91	40	
,	1178	664	7	40	
There	1192	664	113	40	
is	1311	664	32	40	
a	1400	665	20	38	
brighter	1435	665	157	38	
world	1604	665	107	39	
,	1717	666	8	38	
I	1730	666	18	38	
know	1760	666	104	38	
,	1871	666	8	38	
2	409	721	22	40	
Beyond	475	721	184	40	
the	683	721	64	40	
sunset's	760	721	151	40	
pur	924	721	66	40	
-	991	721	14	40	
ple	1007	721	57	40	
rim	1095	721	65	40	
,	1167	721	6	40	
Beyond	1207	721	143	40	
the	1363	721	60	40	
twilight	1438	721	159	40	
deep	1605	721	88	40	
and	1702	721	71	40	
dim	1787	721	72	40	
,	1865	721	9	40	
3	407	770	23	43	
Beyond	474	770	182	44	
this	674	771	70	43	
des	763	771	59	44	
-	824	772	12	43	
ert	840	772	52	43	
dark	903	772	89	43	
and	1003	773	69	43	
drear	1088	773	100	43	
,	1190	773	6	43	
The	1205	774	74	43	
gold	1291	774	80	43	
-	1376	774	11	43	
en	1390	775	40	43	
city	1467	775	113	43	
will	1614	776	76	43	
ap	1712	776	44	43	
-	1759	776	13	43	
pear	1772	776	85	44	
,	1858	777	8	43	
4	406	832	21	39	
Those	457	832	112	39	
gold	577	832	80	39	
-	671	832	14	39	
en	697	832	42	39	
portals	769	832	132	39	
ev	932	832	41	39	
-	987	832	13	39	
er	1012	832	38	39	
shine	1091	832	101	39	
Beyond	1210	832	143	39	
the	1370	832	61	39	
reach	1440	832	101	39	
of	1550	832	38	39	
day's	1596	832	101	39	
de	1710	832	44	39	
-	1752	832	15	39	
cline	1770	832	92	39	
,	1864	832	8	39	
FULL	430	1916	107	31	
CHORUS	553	1916	157	31	
.	712	1916	10	31	
W.	1322	399	57	37	
O.	1398	400	38	37	
PERKINS	1459	402	175	40	
,	1639	406	6	36	
by	1666	407	46	37	
per	1732	408	61	37	
.	1793	410	8	36	
Beyond	402	2119	144	40	
the	554	2119	61	40	
sunset's	628	2119	152	40	
radiant	793	2119	142	40	
glow	948	2119	89	40	
,	1040	2119	10	40	
!!	1249	1977	94	88	
There	1215	2117	113	37	
is	1350	2117	31	37	
a	1406	2117	18	37	
brighter	1439	2117	156	38	
world	1607	2118	107	37	
I	1729	2119	17	37	
know	1758	2119	108	37	
;	1873	2119	10	37	
radiant	1014	2174	142	37	
glow	1167	2177	89	37	
,	1261	2179	8	35	
自	1767	2268	123	103	
109	1010	3037	83	28	
Repeat	1689	2566	120	40	
pp	1823	2570	43	38	
.	1870	2571	5	37	
Beyond	422	2773	182	40	
the	628	2771	62	41	
sun	705	2771	66	41	
-	776	2771	11	41	
set	789	2771	51	40	
,	845	2770	6	41	
I	894	2770	17	41	
may	936	2770	81	41	
spend	1032	2769	108	41	
De	1163	2769	50	41	
-	1217	2769	12	41	
light	1230	2768	92	41	
-	1325	2768	10	41	
ful	1341	2768	53	41	
days	1403	2768	87	40	
that	1500	2767	80	41	
never	1589	2767	107	40	
end	1731	2766	68	41	
.	1801	2766	9	41	
