content	x	y	w	h	
H	283	665	29	33	
-	318	665	24	33	
b	335	665	27	33	
HA	292	714	47	20	
11	252	947	18	14	
H	292	946	10	15	
19	242	991	92	27	
#F	393	725	61	71	
1.	335	832	34	36	
Peace	396	832	112	36	
,	513	832	7	36	
be	554	832	44	36	
still	643	833	72	36	
!	723	833	8	36	
Peace	777	833	113	37	
,	893	834	9	36	
be	963	835	47	29	
still	1097	836	75	28	
!	1176	836	11	28	
E	1102	937	105	77	
#	280	917	35	32	
-2	303	917	58	31	
pp	385	627	71	36	
4	385	686	38	38	
#	277	2213	31	33	
-12	311	2214	43	33	
.	356	2215	11	32	
140-2	247	2251	126	39	
11-11	241	2307	68	24	
4	384	938	38	37	
46	383	985	91	38	
0	246	1556	52	52	
:	306	1560	18	49	
24p	330	1561	146	57	
9-641	308	1611	135	42	
9	287	2505	37	40	
:	296	2505	29	40	
2	318	2505	33	40	
2.	332	1102	35	32	
Hold	395	1102	96	32	
thee	537	1102	82	32	
still	643	1102	72	32	
!	722	1102	7	32	
Hold	777	1102	96	32	
thee	947	1103	84	30	
still	1097	1104	75	29	
!	1177	1104	11	29	
pp	384	1172	67	40	
0:24	252	1226	169	49	
-	427	1232	45	45	
²2-24	298	1275	118	41	
+	422	1279	27	38	
2	573	707	45	27	
etext	558	1235	281	71	
3.	331	1385	37	40	
Lord	390	1385	97	40	
,	493	1385	7	40	
my	549	1385	62	41	
God	634	1386	79	40	
!	723	1386	9	40	
Lord	775	1386	94	41	
,	873	1387	9	40	
my	956	1399	66	28	
God	1088	1387	79	31	
!	1174	1387	10	31	
4.	331	1452	33	39	
Shepherd	392	1452	213	40	
mine	623	1453	95	40	
!	725	1454	9	39	
Shep	776	1454	96	39	
herd	946	1455	88	29	
mine	1080	1455	95	29	
!	1184	1455	11	29	
70	964	1589	83	51	
"	847	440	31	54	
Peace	886	439	204	53	
,	1093	438	10	54	
Be	1143	438	89	53	
Still	1275	437	134	53	
.	1409	436	15	54	
"	1426	436	27	54	
Funeral	954	543	192	50	
Hymn	1166	549	151	50	
.	1323	555	11	45	
p	1323	627	34	39	
Ja	565	939	153	70	
cres	454	1862	70	21	
.	527	1862	9	21	
12-2-1	304	2548	120	55	
0	255	2798	37	40	
:	299	2802	16	38	
-2	308	2803	43	42	
-9-2₂	297	2851	79	38	
T	1005	963	19	30	
ولتمر	834	1559	197	106	
2	971	975	42	27	
-	904	1472	9	4	
26	1304	1590	24	36	
In	1333	834	44	37	
this	1423	834	72	37	
night	1513	834	104	38	
of	1648	835	40	37	
sor	1733	836	56	37	
row	1843	836	74	38	
bow	1934	837	80	37	
;	2025	837	10	37	
rit	1478	1855	44	26	
cres	1640	635	73	20	
.	1713	631	12	23	
2	1543	1906	41	30	
.	1581	1906	17	30	
J.	1663	549	36	30	
H.	1720	549	47	30	
TENNEY	1788	549	166	30	
.	1955	549	9	30	
Tho	1321	1101	80	35	
'	1401	1101	14	35	
the	1428	1102	60	35	
Fa	1535	1103	53	35	
-	1592	1103	11	35	
ther	1605	1104	78	35	
scourge	1695	1105	156	36	
thee	1859	1106	83	36	
sore	1956	1107	80	36	
,	2039	1108	10	35	
P	1320	1174	33	39	
cres	1638	1182	71	20	
.	1711	1181	10	21	
Give	1317	1387	91	38	
me	1423	1387	57	38	
grace	1504	1388	105	38	
that	1623	1388	79	39	
I	1747	1389	19	38	
may	1838	1400	88	23	
be	1946	1391	46	26	
From	1303	1455	108	39	
thy	1431	1455	65	39	
fullness	1513	1455	197	39	
give	1726	1455	83	39	
me	1860	1455	58	39	
still	1954	1455	75	39	
1	1639	1875	23	18	
73	1958	438	98	56	
e	1662	1863	20	20	
-200	1572	2489	67	31	
N	1816	852	8	5	
-	1726	1881	14	3	
Cling	331	2373	106	42	
thou	453	2373	87	42	
to	580	2373	36	42	
Him	642	2373	85	42	
all	752	2373	48	42	
the	824	2373	59	42	
more	900	2373	99	42	
;	1006	2373	7	42	
Let	1019	2373	61	42	
Him	1098	2373	83	42	
mercy's	1192	2373	148	42	
work	1352	2373	101	42	
ful	1467	2373	57	42	
-	1528	2373	10	42	
fill	1539	2373	53	42	
,	1597	2373	7	42	
Hold	1646	2373	96	42	
thee	1766	2373	80	42	
