content	x	y	w	h	
HB	1171	2047	72	52	
=	1570	384	70	45	
OUR	1671	384	213	45	
"	1353	497	60	135	
New	1404	497	188	139	
Singing	1626	502	287	140	
Book	1940	508	204	138	
,	2139	512	26	135	
"	2169	512	47	135	
Buds	1419	711	303	172	
*	1747	719	88	167	
.	1813	720	49	166	
*	1888	722	68	167	
-AND	1714	928	104	21	
Blossoms	1603	994	530	162	
,	2123	994	30	162	
-FOR	1539	1238	98	22	
THE	1659	1236	75	23	
LITTLE	1358	1312	283	65	
ONES	1698	1308	236	66	
.	1946	1305	15	68	
Finely	1602	1581	210	70	
Illustrated	1838	1572	357	66	
.	2199	1559	20	78	
64	1607	1699	88	78	
Pages	1725	1699	209	80	
.	1941	1701	13	78	
Board	1618	1819	195	56	
Cover	1863	1820	204	57	
.	2071	1821	14	56	
BRIGHT	1406	2085	300	57	
AND	1740	2081	169	58	
SPARKLING	1674	2190	443	52	
.	2128	2184	15	58	
(	477	2367	26	50	
Words	506	2366	259	48	
and	801	2363	143	49	
Music	979	2361	247	48	
by	1258	2359	93	49	
best	1384	2357	158	49	
Writers	1576	2355	301	48	
.	1885	2352	12	50	
)	1901	2352	19	50	
SEND	675	2597	206	60	
FOR	920	2595	168	61	
SAMPLE	1120	2593	311	60	
COPY	1470	2590	227	61	
.	1701	2588	16	62	
Price	432	2838	185	57	
,	622	2836	13	58	
25	679	2836	86	58	
Cents	818	2835	196	57	
;	1028	2834	15	58	
$	1219	2833	46	62	
20.00	1269	2832	201	59	
per	1506	2828	118	62	
Hundred	1663	2826	302	58	
EMMA	561	3083	366	79	
PITT	992	3080	266	80	
,	1266	3079	17	81	
Publisher	1336	3079	498	78	
,	1840	3076	17	81	
631	909	3238	121	52	
N.	1063	3238	82	52	
CAREY	1179	3238	289	52	
ST	1506	3238	97	52	
,	1621	3238	18	52	
BALTIMORE	1447	3379	546	43	
,	1999	3373	14	50	
MD	2056	3372	157	48	
.	2221	3370	16	50	
