content	x	y	w	h	
DUKE	469	373	166	34	
STREET	680	373	231	35	
.	920	374	8	34	
L.	979	375	49	34	
M.	1048	375	64	34	
9	917	427	103	153	
A	902	418	23	114	
9	378	809	48	46	
:	429	807	22	46	
6280	463	806	212	42	
b	469	808	29	39	
662	446	848	113	48	
THE	1242	322	120	32	
PRAISE	1397	322	226	33	
OF	1660	323	70	32	
FAITH	1762	323	196	33	
.	1956	324	12	32	
'	448	654	14	42	
Tis	463	654	65	42	
by	538	654	37	42	
the	585	654	52	42	
faith	645	654	80	42	
of	734	654	34	42	
joys	777	654	66	42	
to	856	654	31	42	
come	899	654	82	42	
,	985	654	7	42	
We	999	654	62	42	
walk	1072	654	73	42	
thro	1153	654	69	42	
'	1226	654	8	42	
deserts	1243	654	113	42	
dark	1369	654	72	42	
as	1449	654	33	42	
night	1495	654	83	42	
;	1590	654	7	42	
Till	1604	654	66	42	
we	1679	654	39	42	
arrive	1729	654	97	42	
at	1835	654	32	42	
heav'n	1876	654	103	42	
,	1983	654	7	42	
our	1994	654	55	42	
home	2058	654	84	42	
,	2147	654	6	42	
Faith	2162	654	93	42	
is	2265	654	26	42	
our	2302	654	55	42	
guide	2366	654	86	42	
,	2456	654	6	42	
and	2468	654	56	42	
faith	2534	654	78	42	
our	2626	654	54	42	
light	2689	654	77	42	
.	2770	654	6	42	
2₂	1709	726	112	97	
169	368	954	152	65	
1	424	1069	21	48	
'	474	1069	16	48	
Tis	490	1069	71	49	
by	583	1071	49	48	
the	652	1071	66	49	
faith	737	1072	99	49	
of	859	1074	40	48	
joys	920	1075	83	49	
to	1027	1076	39	48	
come	1087	1077	106	49	
,	1196	1078	9	48	
We	533	1125	78	46	
walk	629	1125	100	47	
through	749	1127	167	47	
deserts	940	1129	145	47	
dark	1107	1130	98	47	
as	1226	1131	41	47	
night	1283	1132	111	47	
;	1401	1133	11	46	
Till	479	1182	75	41	
we	573	1182	56	42	
arrive	649	1183	123	42	
at	791	1185	42	41	
heaven	854	1185	144	43	
,	1003	1187	6	41	
our	1034	1187	68	42	
home	1125	1188	109	42	
,	1239	1189	7	41	
Faith	536	1237	118	45	
is	672	1237	29	46	
our	724	1238	67	45	
guide	810	1238	114	46	
,	930	1239	7	45	
and	959	1240	75	45	
faith	1055	1240	97	46	
our	1176	1241	68	45	
light	1263	1242	99	45	
.	1365	1242	10	45	
Heb	865	995	60	24	
.	930	996	6	24	
11	951	996	31	24	
:	990	997	7	24	
8	1017	997	15	24	
.	1035	998	6	24	
2	424	1359	24	46	
The	479	1359	80	47	
want	580	1360	104	47	
of	702	1361	45	46	
sight	772	1362	100	47	
she	896	1363	64	46	
well	982	1364	84	47	
supplies	1085	1365	167	47	
;	1261	1366	11	46	
She	534	1409	80	49	
makes	633	1411	132	50	
the	787	1415	68	49	
pearly	874	1417	129	51	
gates	1025	1421	108	49	
appear	1158	1424	141	50	
;	1307	1428	8	47	
Far	481	1470	78	46	
into	577	1470	82	47	
distant	679	1472	145	47	
worlds	845	1473	134	47	
she	1002	1475	65	46	
pries	1087	1476	98	46	
,	1189	1477	11	46	
And	536	1526	93	44	
brings	645	1527	127	45	
eternal	794	1529	143	45	
glories	959	1531	136	45	
near	1117	1533	90	44	
.	1211	1534	7	44	
3	425	1648	26	44	
Cheerful	481	1648	179	45	
we	677	1649	55	45	
tread	753	1650	108	45	
the	883	1651	65	44	
desert	970	1652	127	44	
through	1117	1653	167	45	
,	1288	1654	9	44	
While	535	1698	128	51	
faith	682	1701	98	51	
inspires	799	1703	155	52	
a	972	1706	21	49	
heavenly	1015	1707	186	54	
ray	1220	1712	69	51	
;	1296	1713	10	49	
Though	479	1763	162	44	
lions	661	1763	93	44	
roar	769	1764	88	44	
,	862	1764	6	44	
and	893	1764	73	44	
tempests	989	1764	179	45	
blow	1189	1765	97	44	
,	1290	1766	11	44	
And	537	1812	90	49	
rocks	642	1813	109	50	
and	774	1815	75	49	
dangers	869	1817	162	50	
fill	1052	1820	54	48	
the	1125	1821	66	49	
way	1211	1822	84	49	
.	1298	1824	7	48	
I.	1363	999	28	23	
WATTS	1404	999	127	23	
.	1536	999	6	23	
171	976	1919	158	73	
1	478	2030	22	48	
My	534	2030	69	48	
God	627	2030	85	48	
,	718	2030	7	48	
my	748	2030	62	48	
Father	835	2030	140	48	
,	983	2030	6	48	
while	1008	2030	108	48	
I	1137	2030	21	48	
stray	1179	2030	106	48	
Far	534	2079	79	47	
from	631	2080	97	47	
my	749	2081	61	47	
home	830	2082	110	48	
,	944	2083	4	47	
on	977	2084	44	47	
life's	1043	2085	91	47	
rough	1157	2086	123	48	
way	1302	2088	83	47	
,	1389	2089	9	47	
Oh	536	2137	61	45	
,	600	2137	9	45	
teach	632	2137	111	46	
me	764	2138	58	46	
from	846	2139	94	46	
my	962	2140	60	45	
heart	1046	2141	109	46	
to	1174	2142	44	45	
say	1236	2142	69	46	
,	1307	2143	11	45	
"	534	2197	25	47	
Thy	568	2196	83	47	
will	669	2196	74	47	
be	769	2196	45	47	
done	835	2195	97	47	
,	937	2195	7	47	
Thy	968	2195	83	47	
will	1073	2195	76	46	
be	1168	2194	47	47	
done	1231	2194	98	47	
!	1336	2194	13	47	
"	1352	2194	17	47	
2	476	2314	25	46	
What	533	2314	124	47	
though	677	2315	149	47	
in	844	2317	36	46	
lonely	902	2317	123	47	
grief	1046	2319	102	46	
I	1162	2320	22	46	
sigh	1204	2320	83	47	
For	532	2366	77	45	
friends	629	2367	139	47	
beloved	790	2369	158	47	
no	972	2372	47	45	
longer	1040	2372	129	47	
nigh	1191	2375	90	45	
;	1289	2376	10	45	
Submissive	531	2424	230	49	
still	786	2427	74	47	
would	885	2428	120	48	
I	1030	2429	18	47	
reply	1070	2430	103	48	
,	1179	2431	8	47	
"	532	2483	27	47	
Thy	572	2483	84	47	
will	673	2483	76	47	
be	768	2483	47	47	
done	837	2483	96	47	
,	938	2483	7	47	
Thy	970	2483	81	47	
will	1074	2483	74	47	
be	1168	2483	47	47	
done	1236	2483	97	47	
!	1340	2483	14	47	
"	1352	2483	20	47	
3	475	2601	26	42	
If	530	2601	44	42	
Thou	596	2602	107	43	
shouldst	724	2603	172	44	
call	915	2606	75	42	
me	1009	2607	58	42	
to	1088	2608	42	42	
resign	1148	2608	125	44	
What	530	2660	124	45	
most	674	2660	99	46	
I	795	2661	20	45	
prize	835	2661	101	46	
,	940	2662	9	45	
-it	952	2662	95	45	
ne'er	1070	2663	96	45	
was	1188	2663	77	46	
mine	1286	2664	96	45	
;	1391	2664	8	45	
I	530	2718	22	46	
only	574	2717	86	46	
yield	681	2717	99	46	
Thee	802	2716	101	46	
what	922	2716	101	46	
was	1046	2715	75	46	
Thine	1144	2715	119	46	
:	1270	2714	10	46	
"	532	2775	22	45	
Thy	568	2774	82	45	
will	670	2774	78	45	
be	766	2774	46	45	
done	833	2773	96	45	
,	935	2773	6	45	
Thy	967	2773	83	45	
will	1073	2772	74	45	
be	1167	2772	47	45	
done	1235	2772	96	45	
!	1337	2771	13	45	
"	1353	2771	18	45	
170	1593	956	159	68	
Luke	1477	1962	87	24	
11	1576	1963	29	24	
:	1615	1963	9	24	
2	1642	1964	15	24	
.	1660	1964	7	24	
J.	2507	389	33	25	
HATTON	2554	389	151	26	
.	2710	390	8	25	
Titus	2093	998	91	25	
2	2198	999	16	24	
:	2221	1000	8	24	
10	2249	1000	31	24	
.	2284	1001	6	24	
1	1706	1070	20	46	
So	1761	1070	51	47	
let	1832	1072	55	46	
our	1907	1073	68	47	
lips	1994	1074	70	47	
and	2086	1076	74	47	
lives	2181	1078	91	47	
express	2296	1080	154	48	
The	1759	1126	82	49	
holy	1860	1127	90	50	
gospel	1967	1129	135	51	
we	2121	1131	53	50	
profess	2195	1133	143	51	
;	2348	1135	9	49	
So	1762	1187	51	41	
let	1832	1187	54	41	
our	1907	1187	69	42	
works	1997	1188	119	42	
and	2141	1189	74	41	
virtues	2236	1189	143	42	
shine	2400	1190	106	42	
,	2510	1191	9	41	
To	1759	1244	57	45	
prove	1834	1242	118	45	
the	1968	1241	65	45	
doctrine	2053	1240	173	43	
all	2241	1237	55	45	
divine	2313	1236	127	45	
.	2443	1234	11	46	
2	1705	1364	25	45	
Thus	1759	1364	104	45	
shall	1883	1365	99	45	
we	2001	1365	52	46	
best	2077	1366	83	45	
proclaim	2181	1366	180	46	
abroad	2384	1368	146	45	
The	1761	1418	78	41	
honors	1861	1418	137	42	
of	2019	1419	42	42	
our	2087	1420	66	41	
Saviour	2177	1420	162	43	
God	2357	1422	88	41	
