content	x	y	w	h	
9	359	564	71	61	
:	395	564	51	61	
9	360	2340	67	53	
tribute	471	461	148	43	
to	631	461	38	43	
him	686	461	78	43	
bring	781	461	114	43	
,	898	461	6	43	
And	918	461	88	43	
his	1020	461	60	43	
joyful	1093	461	125	43	
praises	1231	461	144	43	
sing	1391	461	87	43	
,	1482	461	6	43	
The	1510	461	78	43	
Lord	1607	461	101	43	
is	1738	461	35	43	
King	1819	461	105	43	
.	1926	461	11	43	
Praise	595	180	194	77	
Him	825	180	131	77	
With	999	180	177	77	
Joy	1213	180	107	77	
.	1328	180	13	77	
Concluded	1415	180	308	77	
.	1725	180	14	77	
No.	437	779	97	56	
66	563	778	70	56	
.	636	777	13	57	
FRED	436	876	95	23	
WOODROW	547	876	178	23	
.	731	876	7	23	
79	441	945	53	33	
8	460	992	36	36	
8	458	1352	44	34	
1.	455	1088	33	45	
It	512	1088	37	45	
is	594	1088	32	45	
coming	674	1088	156	45	
!	841	1088	10	45	
it	890	1088	30	45	
is	968	1088	31	45	
2.	455	1133	34	41	
It	511	1133	39	41	
is	593	1133	34	41	
coming	673	1133	156	41	
!	842	1133	7	41	
it	890	1133	30	41	
is	966	1133	32	41	
3.	456	1177	32	43	
It	510	1177	39	43	
is	593	1177	34	43	
coming	673	1177	155	43	
!	841	1177	8	43	
it	888	1177	31	43	
is	964	1177	33	43	
That	857	768	154	77	
Day	1049	770	123	78	
is	1208	772	49	77	
Coming	1298	773	231	80	
.	1533	777	13	76	
When	427	1649	123	42	
the	566	1649	68	42	
kingdom	650	1649	185	42	
of	856	1649	43	42	
the	911	1649	66	42	
Saviour	997	1649	161	42	
Will	1175	1649	89	42	
at	1279	1649	38	42	
last	1332	1649	76	42	
And	425	1693	88	43	
the	552	1693	67	43	
day	636	1693	71	43	
of	723	1693	43	43	
judgment	774	1693	209	43	
follow	1000	1693	128	43	
In	1166	1693	44	43	
the	1237	1693	64	43	
wake	1326	1693	108	43	
Hear	426	1738	108	42	
ye	554	1738	48	42	
not	619	1738	69	42	
the	702	1738	69	42	
Master's	788	1738	173	42	
footsteps	980	1738	189	42	
Coming	1189	1738	165	42	
in	1367	1738	43	42	
HA	490	1843	190	111	
CHORUS	476	2031	188	21	
.	669	2030	11	22	
coming	1041	1088	156	45	
!	1207	1088	11	45	
And	1232	1088	86	45	
the	1336	1088	66	45	
day	1420	1088	71	45	
is	1517	1088	31	45	
drawing	1589	1088	174	45	
near	1786	1088	93	45	
,	1880	1088	10	45	
coming	1041	1133	155	41	
!	1208	1133	9	41	
And	1234	1133	84	41	
the	1336	1133	68	41	
truth	1421	1133	108	41	
of	1547	1133	42	41	
God	1605	1133	84	41	
shall	1707	1133	99	41	
win	1823	1133	73	41	
,	1902	1133	9	41	
coming	1037	1177	156	43	
!	1204	1177	10	43	
Oh	1231	1177	58	43	
,	1294	1177	7	43	
ye	1318	1177	46	43	
weary	1408	1177	122	43	
,	1533	1177	6	43	
watch	1553	1177	121	43	
and	1690	1177	75	43	
wait	1783	1177	87	43	
!	1880	1177	11	43	
On	500	2672	57	39	
-	562	2672	12	39	
ly	575	2672	37	39	
heed	631	2672	96	39	
the	746	2673	65	39	
blessed	829	2673	149	40	
Master	1000	2674	143	39	
,	1148	2674	5	39	
Never	1173	2675	125	39	
cease	1322	2675	109	40	
CHAS	1573	876	88	25	
.	1667	876	6	25	
H.	1690	876	38	25	
GABRIEL	1745	876	152	25	
.	1902	876	6	25	
It	498	2213	42	43	
is	580	2213	34	43	
coming	654	2213	158	43	
!	820	2213	9	43	
it	862	2213	30	43	
is	939	2213	32	43	
coming	1011	2213	158	43	
!	1180	2213	10	43	
Coming	1215	2213	163	43	
nearer	1397	2213	133	43	
ev'ry	1571	2213	145	43	
day	1760	2213	75	43	
,	1833	2213	12	43	
Copyright	434	2922	184	27	
,	622	2920	6	29	
1891	644	2920	61	29	
,	712	2920	5	29	
by	735	2920	40	29	
Fillmore	794	2919	158	29	
Bros.	967	2918	89	29	
71	1159	2922	32	21	
挂	1516	1473	165	135	
on	1485	1647	45	39	
earth	1552	1649	106	42	
ap	1679	1654	43	39	
-	1726	1656	13	38	
pear	1741	1657	90	41	
.	1837	1661	6	37	
of	1472	1693	44	43	
wrong	1529	1693	135	43	
and	1678	1693	78	43	
sin	1772	1693	60	43	
.	1834	1693	11	43	
the	1485	1738	68	35	
open	1579	1740	142	38	
gate	1747	1744	87	36	
.	1835	1746	8	34	
自	1860	1272	121	118	
to	1474	2670	40	40	
watch	1530	2671	121	43	
and	1664	2676	77	41	
pray	1753	2678	91	42	
.	1847	2681	7	39	
