content	x	y	w	h	
IDA	396	443	75	29	
L.	491	443	37	29	
REED	550	443	107	30	
.	662	444	7	29	
☺	324	1612	77	80	
No.	462	312	98	61	
40.	579	312	102	61	
ONWARD	751	312	332	61	
WE'RE	1118	312	247	61	
MARCHING	1402	312	378	61	
.	1786	312	12	61	
G	312	2522	129	106	
4	445	592	42	35	
1.	440	714	36	40	
On	500	714	52	40	
-	556	714	12	40	
ward	572	714	95	40	
,	671	714	6	40	
still	684	714	75	40	
onward	772	714	143	40	
,	920	714	6	40	
we're	935	714	105	40	
marching	1047	714	185	40	
Toward	1241	714	150	40	
the	1399	714	63	40	
fair	1473	714	68	40	
land	1550	714	85	40	
that	1646	714	79	40	
we	1735	714	52	40	
love	1799	714	82	40	
;	1886	714	10	40	
2.	441	769	37	39	
On	502	769	53	39	
-	558	769	13	39	
ward	573	769	98	39	
,	675	769	7	39	
still	689	769	77	39	
onward	779	769	144	39	
,	928	769	7	39	
we're	943	769	99	39	
marching	1052	769	183	39	
,	1240	769	7	39	
Leav	1283	769	93	39	
-	1380	769	11	39	
ing	1394	769	61	39	
our	1463	769	66	39	
marks	1542	769	117	39	
by	1671	769	44	39	
the	1731	769	60	39	
way	1811	769	76	39	
;	1894	769	9	39	
3.	440	825	34	40	
On	501	825	52	40	
-	557	825	12	40	
ward	572	825	96	40	
,	673	825	5	40	
still	687	825	75	40	
onward	773	825	143	40	
,	921	825	6	40	
we're	936	825	102	40	
marching	1046	825	183	40	
'	1246	825	9	40	
Neath	1260	825	116	40	
our	1394	825	67	40	
king's	1469	825	116	40	
banner	1595	825	134	40	
so	1744	825	38	40	
bright	1793	825	120	40	
;	1920	825	7	40	
4	448	952	40	35	
CHORUS	459	1802	156	28	
.	617	1802	10	28	
3	688	1051	19	21	
3	655	1349	18	22	
Up	1271	1388	60	40	
On	470	1387	54	25	
in	569	1386	40	26	
the	672	1381	63	40	
strait	743	1381	104	41	
nar	860	1383	63	40	
-	926	1384	11	40	
row	939	1384	74	40	
path	1030	1385	85	41	
-	1120	1386	12	40	
way	1134	1386	78	41	
,	1217	1387	7	40	
Grant	443	1436	112	39	
that	568	1438	79	39	
they	664	1440	86	40	
ev	767	1443	42	37	
.	824	1444	9	37	
er	862	1441	39	35	
be	945	1441	44	35	
bright	1001	1441	122	36	
ones	1138	1442	83	35	
,	1223	1442	7	35	
Je	1278	1443	48	35	
Soon	449	1494	90	33	
we	565	1499	54	31	
his	664	1497	57	36	
king	736	1497	89	36	
-	826	1497	13	36	
dom	839	1497	82	36	
shall	939	1497	92	36	
en	1044	1497	43	36	
-	1104	1497	12	36	
ter	1128	1497	56	36	
,	1185	1497	8	36	
Clad	1252	1497	88	37	
-	626	2066	10	4	
march	465	2696	121	25	
1	825	1459	10	3	
ing	855	2694	61	38	
,	920	2695	6	38	
on	577	2757	42	37	
-	624	2757	10	37	
ward	636	2757	96	38	
we're	742	2759	104	38	
marching	854	2760	183	40	
,	1041	2763	5	37	
3	686	2803	19	22	
-	781	2706	12	7	
2	1219	979	39	27	
3	897	2004	19	20	
On	481	2051	56	29	
ward	772	2054	97	32	
,	873	2052	6	33	
we're	888	2052	103	32	
march	1001	2051	117	32	
ing	1255	2051	63	39	
,	1320	2053	7	37	
On	1423	2051	56	30	
Onward	460	2115	155	42	
,	618	2115	9	42	
we're	633	2115	102	42	
marching	742	2115	186	42	
,	931	2115	6	42	
onward	964	2115	145	42	
,	1113	2115	7	42	
we're	1127	2115	100	42	
marching	1236	2115	184	42	
,	1424	2115	5	42	
Onward	1444	2115	153	42	
,	1602	2115	6	42	
we're	1616	2115	106	42	
marching	1731	2115	186	42	
,	1919	2115	8	42	
3	1582	2158	20	21	
Copyright	423	3030	133	26	
,	559	3028	4	27	
1892	577	3028	52	27	
,	633	3028	5	27	
by	649	3028	29	27	
Gospel	693	3027	88	27	
Advocate	793	3027	121	26	
Pub	925	3026	52	26	
.	981	3025	5	27	
Co.	1001	3025	42	27	
12K	1243	1240	22	42	
A	1296	1298	27	36	
50	1104	3060	63	28	
Keep	1068	2690	98	44	
-	1191	2689	9	45	
ing	1239	2688	61	45	
FRANK	1500	441	140	30	
M.	1660	441	50	30	
DAVIS	1732	441	126	30	
.	1861	441	8	30	
to	1391	1387	37	37	
the	1466	1386	63	37	
king	1545	1385	88	37	
-	1633	1384	13	38	
dom	1650	1384	78	37	
a-	1757	1383	36	37	
bove	1803	1382	88	38	
.	1892	1381	8	38	
sus	1377	1440	61	35	
our	1460	1440	67	35	
Saviour	1542	1440	188	35	
we	1743	1440	53	35	
pray	1812	1440	88	35	
.	1902	1440	8	35	
in	1384	1496	38	38	
pure	1441	1495	89	38	
gar	1543	1495	62	38	
-	1607	1494	12	38	
ments	1624	1494	112	38	
of	1751	1494	38	37	
white	1797	1493	111	38	
.	1910	1493	9	38	
Th	1778	1609	98	91	
12K1	1466	2255	24	55	
the	1361	2693	62	28	
strait	1468	2693	105	28	
and	1587	2693	70	28	
-	1674	2067	12	4	
3	1855	2002	19	20	
ward	1734	2052	97	29	
,	1834	2049	10	31	
we're	1849	2049	107	29	
nar	1719	2702	65	18	
-	1806	2708	13	6	
row	1842	2702	70	18	
