content	x	y	w	h	
No.	380	222	95	48	
130.	501	222	129	48	
THE	671	222	119	48	
BATTLE	832	222	230	48	
HYMN	1105	222	175	48	
OF	1324	222	78	48	
MISSIONS	1446	222	297	48	
.	1752	222	12	48	
RAY	446	292	75	23	
PALMER	541	292	145	23	
.	693	292	8	23	
Fe	465	364	68	34	
1.	493	461	29	28	
E	548	460	31	29	
ter	656	461	57	27	
-	744	459	17	28	
nal	791	459	68	27	
2.	487	501	36	39	
We	547	501	69	40	
wait	649	502	90	40	
thy	790	504	75	39	
3.	488	549	32	39	
Thy	547	548	82	40	
hosts	650	548	103	40	
are	790	547	66	40	
-6	445	1781	30	29	
g	521	819	48	40	
glo	508	895	61	40	
-	592	898	17	39	
ry	641	900	44	40	
shall	745	895	103	29	
have	488	941	99	41	
prepared	624	940	234	41	
Cross	486	983	110	34	
!	604	983	13	34	
"	618	983	21	34	
the	657	983	68	34	
bat	758	983	68	34	
No.	375	1678	89	43	
131	493	1678	88	43	
.	588	1678	13	43	
1	427	1912	17	27	
.	450	1912	7	27	
2	422	1996	28	43	
.	446	1996	17	43	
3	426	2091	22	28	
.	451	2091	7	28	
1	617	478	13	5	
bled	548	1341	83	37	
,	638	1341	8	37	
fling	546	1387	93	38	
,	642	1387	10	38	
yield	542	1430	102	41	
,	649	1430	7	41	
HE	656	1212	112	76	
-	851	1003	9	4	
Je	501	2781	49	33	
Father	936	454	190	40	
,	1129	454	8	40	
thou	1161	454	97	40	
hast	1295	454	88	40	
said	1444	454	81	40	
,	1532	454	6	40	
That	1586	454	99	40	
Christ	1717	454	132	40	
all	1882	454	53	40	
tri	933	501	49	41	
-	985	501	11	41	
umph	997	501	121	41	
,	1126	501	7	41	
Savior	1159	501	191	41	
,	1355	501	7	41	
King	1427	501	107	41	
;	1546	501	9	41	
Long	1581	501	106	41	
a	1732	501	23	41	
ges	1879	511	67	26	
mus	913	547	87	30	
-	1003	547	11	30	
tered	1016	547	107	30	
to	1168	547	40	30	
field	1430	545	91	36	
;	1531	544	10	37	
"	1567	543	19	37	
The	1593	543	82	37	
Cross	1713	542	110	36	
!	1835	541	11	37	
the	1876	541	70	36	
the	1287	547	70	30	
redd	1308	595	253	43	
Shall	746	1339	114	31	
o'er	923	1343	77	26	
the	1045	1342	69	26	
Set	766	1386	64	38	
time's	882	1386	125	38	
great	1033	1386	108	38	
soon	914	1438	91	24	
shall	1040	1432	103	24	
And	760	1431	89	28	
ob	904	894	49	38	
tain	1014	894	80	38	
;	1109	894	8	38	
That	1151	894	99	38	
he	1291	894	48	38	
who	1380	894	85	38	
once	1490	894	97	38	
a	1638	903	25	20	
thy	900	938	70	42	
way	1011	938	83	42	
;	1105	937	9	42	
Now	1156	937	92	42	
all	1283	936	53	42	
a	1405	938	23	39	
broad	1473	938	120	39	
thy	1632	939	74	39	
8	1443	957	11	4	
tle	902	984	55	33	
call	1015	979	73	45	
;	1097	979	14	45	
The	1155	979	81	45	
old	1274	979	66	45	
grim	1365	979	94	45	
tow'rs	1482	979	125	45	
of	1641	979	42	45	
CHARLES	641	1714	163	25	
WESLEY	823	1715	149	25	
.	973	1716	9	24	
-	864	1997	13	3	
world	1197	1338	119	32	
a	1393	1350	26	21	
bat	1194	1386	69	38	
tot	1198	1432	59	29	
MERCY	1079	1673	217	48	
.	1306	1674	11	47	
Cries	506	2014	104	48	
,	616	2014	9	48	
"	635	2014	19	48	
How	662	2014	95	48	
shall	768	2014	99	48	
I	880	2014	17	48	
give	910	2014	84	48	
thee	1006	2014	89	48	
up	1114	2014	52	48	
?	1178	2014	16	48	
"	1196	2014	17	48	
There	503	2065	125	42	
for	640	2065	57	42	
me	711	2065	62	42	
the	799	2065	67	42	
Sav	891	2065	69	42	
-	974	2065	12	42	
ior	997	2065	57	42	
stands	1076	2065	131	42	
,	1214	2065	5	42	
God	506	2107	85	37	
is	615	2107	31	37	
love	678	2108	86	37	
!	780	2108	7	37	
I	822	2108	16	37	
know	864	2109	114	37	
,	983	2109	7	37	
I	1027	2110	21	37	
feel	1105	2110	77	37	
;	1192	2111	11	37	
God	483	2442	86	41	
is	614	2443	33	41	
love	675	2443	91	42	
!	779	2444	8	41	
I	828	2445	17	41	
know	880	2445	112	42	
,	999	2447	6	41	
I	1038	2447	19	41	
feel	1095	2448	78	41	
;	1183	2449	11	41	
€	512	2518	74	64	
cd	1247	1479	78	39	
Depth	506	1888	127	41	
of	649	1886	39	42	
mer	704	1886	81	41	
-	789	1885	10	42	
cy	806	1885	41	42	
!	860	1885	9	42	
can	892	1885	68	41	
there	979	1884	110	41	
be	1106	1883	48	42	
Mercy	1246	1885	179	43	
still	1456	1885	81	43	
Can	507	1930	78	44	
my	603	1930	65	44	
God	688	1930	83	44	
his	800	1930	58	44	
wrath	873	1930	119	44	
for-	1012	1930	71	44	
bear	1093	1930	93	44	
,	1190	1930	8	44	
-Me	1204	1930	108	44	
,	1316	1930	7	44	
JOHN	1643	289	94	30	
WHITAKER	1756	289	200	30	
.	1960	289	7	30	
con	1499	1347	72	31	
-	1574	1345	13	34	
qu'ror	1587	1345	132	31	
tle	1365	1384	58	32	
in	1507	1385	43	29	
ter	1368	1433	58	26	
to	1508	1432	41	26	
ar	1642	1395	41	19	
their	1616	1429	106	28	
suff	1751	896	80	27	
-	1848	894	16	29	
'	1885	893	12	29	
rer	1897	893	62	28	
ban	1752	939	74	39	
-	1851	940	15	39	
ner	1887	940	71	39	
darkness	1740	979	232	45	
6	1742	1402	15	5	
sus	700	2794	64	21	
weeps	834	2791	124	33	
,	959	2794	7	30	
he	1061	2783	50	40	
weeps	1144	2782	124	39	
,	1273	2780	8	41	
and	1314	2780	77	40	
loves	1436	2778	108	40	
me	1591	2776	61	41	
reign	1809	1341	106	37	
.	1922	1342	6	36	
