content	x	y	w	h	
110	478	423	113	56	
MARY	548	530	138	32	
A.	710	532	40	31	
MCKEE	780	533	158	33	
.	943	535	10	31	
Slowly	550	587	120	40	
and	686	587	71	41	
with	771	588	78	40	
great	865	588	94	41	
expression	975	589	187	41	
.	1166	590	9	40	
E	598	686	49	49	
I.	625	817	29	24	
I	690	816	19	25	
2.	622	861	31	25	
I	690	860	19	26	
3.	620	904	35	35	
I	690	904	22	35	
efc	489	973	147	79	
.	643	975	2	77	
f	473	1935	98	123	
heal	620	1458	80	27	
an	637	1513	39	17	
strong	620	1555	114	27	
-	756	1552	16	29	
er	793	1551	37	29	
-	724	1520	10	4	
there	619	2723	98	28	
leave	622	2768	94	26	
earth	620	2813	93	26	
●	865	697	12	8	
ing	786	1456	61	39	
fount	909	1457	100	26	
gel	787	1504	63	33	
wings	905	1504	108	33	
steps	907	1552	91	29	
come	771	824	94	23	
,	869	824	9	23	
O	946	814	35	30	
Lord	1026	811	87	36	
,	1118	811	6	36	
when	1160	812	99	36	
come	770	867	95	25	
,	869	869	8	23	
O	944	858	36	30	
Lord	1025	859	89	32	
,	1121	860	6	32	
when	1153	860	98	33	
mer	1297	862	74	33	
come	768	912	93	26	
,	865	914	7	25	
O	942	903	32	38	
Lord	1020	903	92	38	
,	1116	903	8	38	
though	1136	903	127	38	
oth	1298	903	58	38	
come	623	2105	93	17	
ways	621	2151	91	23	
of	792	2141	40	25	
come	622	2194	94	18	
in	798	2095	39	28	
hope	895	2095	87	38	
,	988	2097	6	37	
sin	909	2142	50	29	
,	963	2142	9	29	
in	794	2185	37	27	
faith	898	2184	84	31	
,	985	2184	8	31	
BETHESDA	1093	432	356	60	
.	1456	435	13	58	
are	820	2734	56	19	
them	803	2769	95	27	
and	816	2812	65	29	
that	1071	1456	75	26	
are	1080	1511	56	18	
to	1090	1551	36	20	
#	1912	668	221	109	
troubled	1309	813	151	37	
waves	1509	814	110	37	
are	1640	815	57	37	
stir	1750	818	62	23	
ring	1897	818	77	30	
The	2011	814	77	30	
is	1538	861	31	28	
ed	1913	862	37	29	
,	1955	861	9	30	
And	2011	860	78	29	
ing	1902	907	60	30	
With	2000	904	92	30	
none	1009	2735	88	23	
,	1099	2735	8	23	
all	1008	2768	47	31	
,	1057	2768	9	31	
heav'n	1007	2813	122	28	
8	1385	881	9	3	
cures	1192	1466	94	18	
the	1329	1457	61	25	
brood-	1180	1495	138	39	
ing	1341	1500	58	36	
seek	1194	1547	81	27	
the	1331	1546	62	25	
no	1063	2106	46	15	
that	1050	2140	74	26	
no	1069	2196	46	14	
precious	1173	2195	214	17	
faint	1168	2094	85	30	
-	1266	2097	15	28	
ness	1309	2098	75	31	
I	1196	2140	22	29	
cy	1422	871	43	29	
ers	1411	914	51	18	
ADAM	1670	543	137	30	
GEIBEL	1835	543	173	31	
.	2011	544	10	30	
ex	1645	866	41	24	
-	1704	863	16	25	
tend	1740	862	80	22	
may	1517	917	78	21	
be	1638	908	42	24	
hast	1740	904	77	28	
touch	1455	1456	103	26	
of	1624	1453	41	27	
soft	1478	1497	67	36	
-	1564	1499	15	34	
ly	1620	1501	39	35	
way	1470	1555	72	26	
of	1620	1545	40	24	
then	1442	2097	82	25	
de	1599	2093	46	30	
le	1616	2096	27	26	
-	1682	2097	15	26	
ter	1732	2098	52	26	
had	1312	2140	69	27	
once	1443	2150	83	18	
de	1602	2139	43	27	
fend	1726	2139	80	26	
wast	1725	2189	84	23	
moment	1447	2191	221	20	
-	1847	836	12	4	
E	1764	1309	134	116	
sin	1765	1454	51	29	
;	1828	1456	12	28	
o'er	1764	1502	67	24	
life	1759	1541	61	34	
;	1829	1544	10	33	
1	1828	2116	10	5	
-	1853	922	13	4	
8	1853	2157	12	4	
ring	1887	2097	75	33	
,	1964	2094	10	36	
But	2019	2093	68	34	
ed	1905	2138	42	31	
,	1952	2138	12	31	
I	2042	2141	21	27	
ing	1891	2185	59	32	
,	1952	2183	10	34	
While	1985	2182	115	31	
f	1289	2584	82	99	
O	1309	2726	32	29	
Lord	1454	2725	89	30	
,	1545	2726	9	30	
to	1598	2726	36	31	
help	1722	2725	82	34	
and	1288	2769	68	28	
I	1469	2771	20	27	
do	1738	2770	46	28	
with	1276	2813	83	28	
love	1447	2814	80	28	
and	1581	2814	67	27	
peace	1713	2824	105	27	
are	1865	2825	57	18	
me	1863	2736	56	18	
no	1872	2781	46	17	
can	1589	2779	59	18	
I	2038	1453	21	27	
The	2015	1499	72	25	
I	2033	1542	22	27	
Copyrighted	683	3054	163	27	
in	856	3054	26	27	
"	896	3054	12	27	
The	923	3054	48	27	
Helper	985	3054	86	27	
.	1075	3054	6	27	
"	1084	3054	11	27	
Used	1126	3054	62	27	
by	1202	3054	29	27	
permission	1243	3054	144	27	
of	1400	3054	25	27	
The	1438	3054	48	27	
Church	1500	3054	94	27	
&	1608	3054	16	27	
S.	1639	3054	24	27	
S.	1678	3054	23	27	
Music	1714	3054	74	27	
Pub	1801	3054	51	27	
.	1856	3054	5	27	
Co.	1873	3054	41	27	
in	2003	2726	34	29	
.	2041	2727	8	28	
more	1977	2781	94	17	
.	2074	2781	8	17	
rife	1996	2817	61	26	
.	2060	2816	8	27	
