content	x	y	w	h	
110	294	180	111	46	
E.	393	245	36	26	
N.	451	245	39	26	
GUNNISON	509	246	194	27	
.	707	247	7	26	
4	415	324	39	35	
4	409	367	48	42	
2	282	828	81	74	
O	293	610	55	47	
:	344	611	24	46	
64	381	612	73	47	
5-4	352	655	99	48	
1.	336	442	35	39	
Ring	388	442	97	39	
the	499	442	65	39	
joy	574	442	65	39	
-	643	442	12	39	
bells	660	442	89	39	
,	758	442	5	39	
Christ	773	442	123	39	
is	925	442	30	39	
risen	991	442	144	39	
!	1148	442	11	39	
-He	1163	442	98	39	
who	1292	442	84	39	
for	1396	442	61	39	
our	1476	442	67	39	
sins	1569	442	76	39	
was	1663	442	75	39	
slain	1754	442	93	39	
;	1860	442	8	39	
From	1876	442	109	39	
the	2000	442	63	39	
bondage	2078	442	170	39	
of	2268	442	44	39	
his	2330	442	55	39	
pris	2403	442	76	39	
-	2484	442	12	39	
on	2500	442	46	39	
,	2552	442	9	39	
2.	334	485	39	40	
Ring	387	485	97	40	
the	497	485	63	40	
joy	572	485	65	40	
-	640	485	12	40	
bells	656	485	90	40	
,	754	485	7	40	
loud	767	485	86	40	
and	868	485	73	40	
gleeful	953	485	143	40	
,	1103	485	6	40	
Sound	1116	485	126	40	
their	1255	485	97	40	
notes	1367	485	106	40	
of	1487	485	46	40	
praise	1540	485	122	40	
and	1675	485	72	40	
peace	1759	485	112	40	
;	1881	485	8	40	
Fill	1899	485	70	40	
the	1978	485	62	40	
world	2054	485	118	40	
with	2184	485	91	40	
glad	2290	485	85	40	
vibration	2389	485	187	40	
,	2582	485	9	40	
3.	336	529	36	42	
Ring	386	529	96	42	
the	496	529	64	42	
joy	572	529	64	42	
-	639	529	13	42	
bells	656	529	90	42	
,	753	529	7	42	
-saints	766	529	162	42	
in	944	529	37	42	
glo	1001	529	59	42	
-	1079	529	13	42	
ry	1110	529	41	42	
,	1157	529	7	42	
List	1206	529	80	42	
-	1290	529	12	42	
en	1307	529	42	42	
to	1390	529	38	42	
the	1465	529	64	42	
glad	1553	529	86	42	
re	1680	529	39	42	
-	1723	529	12	42	
frain	1739	529	99	42	
;	1851	529	7	42	
Ringing	1881	529	162	42	
forth	2064	529	105	42	
the	2184	529	63	42	
old	2266	529	61	42	
-	2331	529	12	42	
en	2346	529	44	42	
sto	2416	529	59	42	
-	2491	529	16	42	
ry	2522	529	43	42	
,	2571	529	10	42	
Breaks	363	992	141	36	
to	523	992	38	36	
glad	597	992	85	36	
-	686	992	10	36	
den	701	992	68	36	
earth	790	992	104	36	
again	920	992	151	36	
.	1080	992	8	36	
Till	409	1038	74	31	
the	512	1038	63	31	
strife	594	1038	110	31	
of	724	1038	43	31	
earth	782	1038	103	31	
shall	900	1038	97	31	
cease	1006	1038	108	31	
.	1120	1038	9	31	
How	402	1081	95	34	
the	511	1081	62	35	
Christ	592	1082	124	35	
is	729	1083	29	34	
born	779	1083	94	35	
a	929	1084	20	34	
-gain	966	1084	111	35	
.	1082	1085	10	34	
5	363	1476	30	38	
8	416	1476	38	38	
Ring	1134	179	143	63	
the	1311	179	101	63	
Joy	1448	179	114	63	
-	1564	179	24	63	
Bells	1590	179	151	63	
.	1743	179	19	63	
Ring	383	1901	84	33	
,	470	1903	6	30	
ring	579	1903	72	29	
,	656	1904	5	29	
ring	765	1903	72	30	
,	840	1903	7	30	
Copyright	399	1948	112	23	
,	514	1946	4	25	
1890	533	1946	47	24	
,	582	1945	4	25	
by	603	1945	24	24	
FILLMORE	642	1944	116	24	
BROS	773	1942	55	25	
.	832	1941	6	25	
REFRAIN	1094	764	172	27	
.	1273	764	8	27	
ring	959	1904	72	27	
,	1035	1905	6	26	
Ring	1174	993	97	39	
the	1287	993	65	39	
joy	1375	993	66	39	
-	1444	993	13	39	
bells	1460	993	91	39	
,	1557	993	5	39	
ring	1570	993	82	39	
the	1665	993	63	39	
joy	1744	993	63	39	
-	1815	993	10	39	
bells	1829	993	90	39	
,	1929	993	6	39	
Ring	1942	993	95	39	
the	2052	993	63	39	
bells	2129	993	90	39	
,	2226	993	6	39	
the	2239	993	63	39	
joy	2332	993	67	39	
-	2418	993	13	39	
bells	2462	993	93	39	
,	2562	993	9	39	
