content	x	y	w	h	
ENTREATY	409	351	269	27	
.	684	349	8	29	
6s	734	349	47	28	
&	796	348	25	29	
5s	839	348	52	29	
.	895	348	8	29	
D.	941	347	46	29	
28	441	501	100	40	
8	562	498	47	42	
6-2	408	787	68	46	
92	343	1539	75	49	
g	641	511	39	42	
ga	702	512	125	44	
Q	796	519	28	27	
-	834	524	23	26	
0	865	528	26	27	
00	790	565	103	19	
HYMNS	1007	245	169	30	
OF	1211	244	57	30	
DEVOTION	1305	243	258	30	
.	1568	242	8	31	
니	1675	554	65	45	
1.	447	623	36	39	
In	502	623	40	39	
the	560	623	51	39	
hour	627	623	75	39	
of	718	623	33	39	
trial	783	623	117	39	
,	905	623	5	39	
Je	946	623	40	39	
-	989	623	9	39	
sus	1003	623	50	39	
,	1059	623	7	39	
plead	1070	623	85	39	
for	1173	623	47	39	
me	1259	623	44	39	
;	1315	623	7	39	
Lest	1344	623	75	39	
by	1436	623	37	39	
base	1489	623	70	39	
de	1572	623	35	39	
-	1625	623	13	39	
ni	1653	623	31	39	
-	1728	623	14	39	
al	1779	623	32	39	
I	1867	625	19	34	
de	1919	625	34	34	
-	1955	625	11	34	
part	1968	625	68	34	
from	2048	625	74	34	
Thee	2137	625	85	34	
;	2232	625	9	34	
2	2067	691	38	28	
HOH	2152	697	75	30	
HIGH	1240	700	75	25	
288	709	718	197	43	
2	2066	740	36	23	
동명	529	1014	104	112	
동행	750	1010	94	112	
1	890	1008	18	114	
일	911	1008	39	113	
임명	991	1006	94	113	
8101	1139	1004	184	111	
동	1332	1001	37	113	
동명	1403	1000	98	112	
영	1540	998	38	113	
1	1576	998	29	114	
등	1613	997	58	113	
1	1759	995	26	114	
일	1796	994	37	113	
a	1619	1087	38	21	
0	1691	1105	29	20	
When	388	1168	101	33	
Thou	504	1167	87	34	
see'st	603	1167	88	33	
me	703	1166	42	34	
wav	760	1166	59	34	
-	821	1166	11	34	
er	837	1166	30	33	
,	872	1165	5	34	
With	888	1165	89	34	
a	996	1165	15	34	
look	1038	1165	68	33	
re	1122	1164	33	34	
-	1193	1164	12	34	
call	1222	1164	57	34	
,	1286	1164	5	34	
Nor	1315	1164	65	33	
for	1398	1163	47	34	
fear	1464	1163	63	34	
or	1545	1163	31	33	
fa	1609	1162	32	34	
-	1652	1162	14	34	
vor	1679	1162	55	34	
P	521	1251	41	22	
-	556	1246	23	24	
R	589	1241	45	21	
o	667	1255	36	30	
12	721	1252	71	29	
a	817	1247	36	30	
e	1311	1241	53	67	
do	1388	1241	128	67	
e	1514	1241	52	67	
96	339	1291	101	72	
200	725	1334	123	31	
In	656	1556	36	29	
the	706	1555	54	30	
Hour	774	1555	87	29	
of	877	1554	36	30	
Trial	926	1554	95	29	
.	1022	1553	8	30	
1	513	1611	22	41	
In	567	1611	49	41	
the	636	1611	64	41	
hour	721	1611	96	41	
of	836	1611	46	41	
trial	896	1611	91	41	
,	989	1611	10	41	
Jesus	563	1666	111	47	
,	678	1666	10	47	
plead	706	1666	116	47	
for	842	1666	60	47	
me	920	1666	58	47	
;	987	1666	10	47	
Lest	521	1728	96	40	
by	633	1725	52	42	
base	703	1724	93	41	
denial	816	1722	126	40	
I	573	1783	22	45	
depart	615	1782	137	43	
from	773	1780	94	44	
Thee	889	1778	103	44	
;	998	1777	11	45	
When	517	1834	127	37	
Thou	666	1834	109	38	
see'st	796	1835	117	38	
me	936	1836	57	37	
waver	1015	1836	123	38	
,	1141	1837	9	37	
With	573	1887	114	40	
a	707	1887	22	40	
look	749	1887	92	41	
recall	860	1888	119	40	
,	982	1888	10	40	
Nor	521	1948	84	32	
for	624	1948	62	32	
fear	704	1948	83	32	
or	807	1948	42	32	
favor	869	1948	110	32	
Suffer	572	2003	120	34	
me	714	2001	57	35	
to	789	2000	39	35	
fall	849	2000	68	34	
.	920	1999	9	35	
Spread	573	2292	146	44	
to	740	2290	40	46	
work	804	2289	103	46	
me	929	2288	58	46	
harm	1007	2288	107	45	
;	1122	2287	11	46	
Bring	518	2350	119	42	
to	653	2347	40	45	
my	715	2345	63	44	
remembrance	796	2343	283	41	
2	516	2120	28	45	
With	573	2120	113	45	
forbidden	705	2120	201	46	
pleasures	924	2121	191	46	
Would	573	2177	148	42	
this	735	2177	74	42	
vain	829	2177	89	42	
world	939	2177	120	42	
charm	1080	2177	127	42	
;	1216	2177	11	42	
Or	518	2235	58	35	
its	593	2235	49	35	
sordid	663	2235	129	35	
treasures	812	2235	188	35	
Sad	575	2401	83	41	
Gethsemane	677	2401	258	42	
,	939	2402	8	41	
Or	520	2459	54	42	
,	577	2458	9	43	
in	607	2458	37	43	
darker	667	2458	137	42	
semblance	823	2457	213	42	
,	1039	2456	10	43	
Cross	576	2511	111	43	
-	690	2511	11	43	
crown'd	701	2511	175	43	
Calvary	898	2511	168	43	
.	1068	2511	12	43	
H2H	1244	787	80	28	
3	521	2635	24	46	
Should	576	2635	147	46	
Thy	746	2635	84	46	
merey	849	2635	127	46	
send	995	2635	92	46	
me	1104	2635	60	46	
Sorrow	577	2689	149	45	
,	733	2690	7	44	
toil	763	2691	69	44	
;	836	2691	9	44	
and	863	2692	74	44	
woe	959	2693	82	44	
;	1047	2694	9	44	
Or	521	2749	55	43	
should	596	2748	134	43	
pain	742	2747	90	44	
attend	853	2746	136	44	
me	1011	2745	58	44	
On	578	2802	64	46	
my	659	2802	65	46	
path	740	2802	97	46	
below	857	2802	123	46	
;	988	2802	13	46	
Grant	523	2858	126	39	
that	669	2859	86	39	
I	776	2860	19	38	
may	818	2860	85	39	
never	925	2861	113	39	
