content	x	y	w	h	
W.	371	359	58	29	
A.	449	359	42	30	
O.	511	360	39	30	
f	294	455	88	119	
2	407	1226	25	35	
56-4	370	926	131	41	
PR	376	1666	58	36	
4	467	461	37	38	
-4	440	505	62	38	
22	408	1950	24	31	
R	406	2290	23	35	
-D	428	1921	23	26	
1.	439	636	31	26	
We	498	635	63	26	
our	614	630	68	41	
vows	695	630	96	41	
to	829	630	38	41	
God	905	630	78	41	
have	1025	630	91	41	
spo	1124	630	60	41	
-	1189	630	13	41	
ken	1203	630	67	41	
;	1281	630	7	41	
By	1300	630	50	41	
the	1370	630	60	41	
pledge	1447	630	125	41	
our	1583	630	63	41	
faith	1660	630	86	41	
is	1774	630	29	41	
sealed	1812	630	115	41	
,	1932	630	6	41	
2.	439	690	30	29	
We	499	689	65	29	
are	619	688	60	42	
His	711	688	65	42	
by	823	688	47	42	
sign	902	688	80	42	
and	1022	688	69	42	
fa-	1117	688	63	42	
vor	1196	688	61	42	
;	1263	688	8	42	
We	1292	688	60	42	
are	1371	688	58	42	
His	1464	688	64	42	
by	1570	688	45	42	
word	1644	688	93	42	
of	1762	688	39	42	
might	1814	688	114	42	
,	1931	688	6	42	
3.	439	745	33	39	
Help	500	745	94	39	
us	627	745	40	39	
,	673	745	7	39	
O	727	745	36	39	
our	812	743	66	38	
heavenly	893	743	212	39	
Fa	1119	744	49	38	
ther	1185	744	78	38	
,	1268	744	5	38	
Now	1290	744	85	39	
to	1389	745	34	38	
keep	1451	745	88	38	
our	1553	745	64	39	
vows	1641	746	97	38	
to	1763	746	36	38	
Thee	1825	746	93	39	
;	1924	747	10	38	
Un	485	1362	59	41	
to	600	1362	36	41	
Christ	655	1362	121	41	
And	473	1420	79	29	
'	570	1420	9	29	
twill	583	1420	94	29	
be	693	1420	45	29	
CHORUS	443	1836	156	30	
.	602	1838	9	28	
CHRIST	788	218	251	59	
OUR	1078	218	141	59	
HOPE	1256	218	178	59	
.	1439	218	15	59	
our	805	1362	64	41	
lives	881	1362	86	41	
are	1000	1362	58	41	
given	1096	1362	155	41	
,	1257	1362	6	41	
And	1279	1362	79	41	
to	1400	1362	34	41	
Him	1461	1362	83	41	
our	1556	1362	64	41	
pow'rs	1633	1362	127	41	
we	1770	1362	52	41	
yield	1830	1362	95	41	
.	1930	1362	8	41	
en-	1005	1417	61	39	
deavor	1078	1417	171	39	
E'er	1273	1417	81	39	
to	1395	1417	33	39	
stand	1445	1417	104	39	
for	1559	1417	52	39	
God	1638	1417	72	39	
and	1738	1417	66	39	
right	1818	1417	96	39	
.	1915	1417	7	39	
And	480	1473	81	36	
in	599	1474	37	36	
conflict	679	1475	193	38	
may	886	1477	81	37	
we	1000	1479	55	36	
ev	1100	1486	41	19	
er	1210	1475	38	32	
True	1263	1475	93	32	
and	1386	1475	70	32	
faithful	1471	1475	145	32	
foll'wers	1648	1475	169	32	
be	1846	1475	42	32	
.	1892	1475	9	32	
one	805	1429	66	23	
sole	885	1424	73	23	
-	564	1384	9	3	
554	388	2834	93	65	
:	1491	235	8	12	
W.	1558	359	52	30	
A.	1636	360	40	30	
OGDEN	1701	361	141	31	
.	1845	363	9	30	
-	1172	1493	12	4	
Blessed	459	2095	181	30	
is	685	2096	31	30	
the	755	2096	61	30	
con	849	2096	60	31	
-	929	2097	14	30	
so	958	2097	37	30	
-	1019	2097	10	30	
la-	1070	2093	51	38	
tion	1138	2093	73	38	
,	1218	2093	7	38	
Christ	1231	2093	118	38	
the	1359	2093	60	38	
hope	1429	2093	88	38	
of	1541	2093	40	38	
our	1615	2093	67	38	
sal-	1704	2093	66	38	
va	1786	2093	43	38	
-	1832	2093	12	38	
tion	1846	2093	75	38	
,	1926	2093	8	38	
54	1082	2986	63	30	
Reign-	453	2702	131	41	
eth	599	2702	61	41	
King	671	2702	96	41	
o'er	776	2702	73	41	
ev'ry	889	2702	141	41	
na-	1069	2702	62	41	
tion	1142	2702	72	41	
!	1224	2702	8	41	
And	1248	2702	82	41	
to	1362	2702	35	41	
Him	1417	2702	83	41	
our	1536	2702	65	41	
vows	1610	2702	94	41	
we	1713	2702	53	41	
pay	1787	2702	71	41	
.	1859	2702	10	41	
