content	x	y	w	h	
1893	363	343	240	66	
Life	353	466	258	74	
A	657	452	72	83	
1₂2128	1027	472	334	175	
F645	942	698	407	155	
(	1048	871	84	134	
S	1079	871	83	134	
)	1153	872	62	134	
PREFACE	878	1120	451	74	
.	1333	1125	15	69	
BELIEVING	415	1385	388	82	
Song	838	1387	128	81	
to	1000	1388	49	81	
be	1082	1388	54	82	
one	1174	1389	85	81	
of	1300	1390	53	81	
God's	1392	1390	138	82	
appointed	1569	1391	236	82	
ways	534	1471	120	55	
of	682	1471	52	55	
spreading	761	1472	235	56	
the	1031	1473	77	55	
gospel	1142	1474	154	55	
,	1301	1474	8	55	
we	1336	1475	64	55	
send	1436	1475	107	56	
this	1575	1476	90	55	
little	1694	1476	115	56	
messenger	411	1546	252	46	
forth	700	1548	114	46	
in	858	1549	41	46	
His	946	1550	83	46	
name	1070	1551	130	46	
.	1202	1552	9	45	
"	836	1670	19	31	
I	867	1670	14	31	
am	900	1670	50	32	
the	972	1671	57	32	
light	1046	1672	90	32	
of	1156	1673	34	32	
the	1211	1674	53	32	
world	1284	1675	101	32	
:	1395	1676	11	31	
he	804	1722	39	27	
that	868	1723	73	27	
followeth	966	1724	171	29	
me	1162	1727	49	28	
shall	1234	1728	89	28	
not	1347	1730	58	28	
walk	803	1780	85	30	
in	903	1781	33	30	
darkness	951	1781	162	32	
,	1119	1783	5	30	
but	1140	1784	59	30	
shall	1219	1785	86	31	
have	1322	1786	84	31	
the	802	1833	55	34	
Light	870	1834	100	35	
of	980	1835	38	35	
Life	1027	1836	71	35	
.	1101	1837	7	34	
"	1111	1837	16	34	
-	1133	1838	26	34	
JOHN	1162	1838	93	35	
VII	1269	1840	57	35	
:	1337	1841	8	34	
12	1361	1841	30	35	
.	1396	1842	5	34	
EDW	1308	1949	130	37	
.	1450	1950	9	37	
S.	1490	1950	44	37	
FOGG	1565	1951	160	38	
.	1734	1952	8	37	
T.	1309	2024	53	38	
W.	1382	2024	68	39	
BARKER	1479	2026	250	40	
.	1733	2029	12	38	
EMORY	884	2938	236	78	
UNIVERSITY	1161	2950	427	87	
THEOLOGY	874	3050	369	69	
LIBRARY	1281	3060	303	68	
