content	x	y	w	h	
Adagio	521	424	130	43	
.	653	428	10	39	
C	466	506	51	41	
²	560	506	38	41	
e	380	711	70	65	
c	464	711	50	64	
sotto	518	636	78	27	
voce	614	638	72	28	
.	689	641	6	26	
ff	486	1463	53	39	
□	561	787	70	73	
f	491	1941	65	63	
gath	483	2064	83	32	
A	693	2334	157	291	
er	917	2070	36	18	
be	985	1257	51	39	
Thy	1103	2058	76	38	
●	1191	762	11	8	
DOORTO	1418	1323	22	108	
+++	1426	469	16	65	
B	1420	1279	5	8	
flock	1329	2061	89	31	
,	1421	2061	9	31	
ROSTO	1556	1347	30	110	
PILGRIM	1624	290	300	46	
CHORUS	1964	291	310	47	
.	2282	292	14	46	
2	1666	1341	36	26	
latci	1695	1558	23	49	
1261	1811	1332	27	50	
on	1521	2071	41	19	
these	1629	2061	95	28	
shores	1734	2059	114	29	
of	1906	2061	39	26	
the	2028	2062	60	27	
1246	2285	1559	29	42	
2	2154	2404	175	108	
2	2362	1344	46	28	
Cantabile	2352	986	169	36	
con	2536	988	58	35	
espressione	2611	989	200	37	
.	2812	991	11	35	
CHO	2351	1032	85	31	
.	2442	1032	8	31	
S.	2467	1032	36	31	
A.	2525	1032	41	31	
T.	2589	1032	39	31	
&	2651	1032	30	31	
B.	2703	1032	38	31	
in	2762	1032	36	31	
Unison	2820	1032	142	31	
.	2968	1032	9	31	
3	2446	1880	19	20	
3	2432	2138	19	21	
3	2761	452	20	20	
cean	2553	2073	78	18	
.	2636	2072	7	19	
From	2908	386	110	32	
"	3040	387	20	32	
IL	3073	387	44	32	
LOMBARDI	3135	388	223	33	
.	3360	390	10	32	
"	3375	390	19	32	
VERDI	3447	390	139	34	
.	3588	392	10	32	
2	2787	2204	34	27	
From	2796	1213	94	28	
a	2921	1217	18	26	
2	2818	1341	38	28	
1	2976	1231	12	4	
far	3027	1213	51	30	
,	3078	1213	11	30	
Thee	2718	2061	92	36	
they	2833	2062	81	36	
owned	2939	2063	118	37	
as	3116	2075	33	17	
PARA	3112	2519	39	12	
FE	3524	1115	182	66	
gra-	3158	1215	76	36	
cious	3251	1215	88	36	
Lord	3355	1215	85	36	
,	3447	1215	7	36	
Thou	3470	1215	93	36	
didst	3596	1215	91	36	
their	3217	2065	89	27	
God	3330	2065	73	27	
20	3477	1357	48	29	
251	3611	306	78	38	
3	3558	1888	19	22	
and	3466	2070	64	25	
their	3547	2071	88	26	
