content	x	y	w	h	
9	300	2354	71	65	
:	368	2354	35	64	
b	394	2419	37	57	
b	439	2419	42	57	
4	493	790	54	47	
4	494	846	46	53	
H	1198	786	144	110	
-0	937	922	48	26	
Praise	531	949	128	43	
and	706	950	75	43	
thanks	796	951	141	43	
-	942	952	13	43	
giving	956	952	192	44	
be	1209	955	50	28	
un	1318	967	48	16	
4	492	1049	52	51	
4	491	1111	47	45	
Praise	530	1304	128	41	
and	703	1305	74	41	
thanks	794	1306	142	42	
-	941	1307	12	41	
giving	955	1307	191	42	
9	301	1410	69	61	
:	371	1403	38	64	
4	486	1393	66	61	
264	395	1468	155	49	
God	485	1868	84	34	
,	573	1868	8	34	
bh	685	1720	32	52	
Be	879	1869	50	26	
un	997	1877	48	19	
2	766	2155	48	40	
God	485	2210	82	32	
,	572	2208	10	35	
Be	629	2206	53	35	
un	751	2214	49	21	
-	826	2211	17	23	
to	877	2210	39	22	
Be	876	2253	53	25	
**	638	2381	173	42	
to	1123	1871	38	23	
God	990	2207	81	30	
,	1076	2204	10	33	
be	1131	2202	49	31	
un	996	2259	48	21	
be	1204	1309	49	28	
ANTHEMS	1304	372	1199	93	
.	2518	372	38	93	
un	1247	2213	53	15	
to	1250	2250	42	25	
un	1313	1319	50	17	
1	1391	1325	12	3	
Praise	1438	620	231	65	
and	1707	622	134	65	
Thanksgiving	1883	624	511	68	
.	2402	629	21	64	
to	1367	2204	39	24	
d	1441	866	37	36	
to	1439	959	36	27	
God	1526	957	82	27	
!	1621	956	10	28	
-0	1436	1151	42	28	
God	1234	1869	85	28	
,	1323	1867	8	30	
For	1353	1866	75	30	
He	1491	1869	60	25	
-0	1558	1090	41	28	
to	1433	1311	39	27	
God	1522	1310	84	27	
!	1619	1309	10	28	
HE	1526	1406	133	90	
is	1770	1865	41	30	
God	1466	2201	83	30	
,	1555	2200	6	31	
For	1578	2200	72	30	
He	1683	2199	59	30	
.	1760	2198	10	31	
God	1471	2246	84	32	
,	1559	2246	9	32	
H	2893	787	138	112	
Praise	1859	949	123	42	
and	2005	951	75	41	
thanks	2092	952	141	43	
-	2236	954	13	41	
giving	2252	954	193	43	
,	2446	957	8	41	
Praise	2574	949	125	43	
and	2723	949	75	44	
thanks	2814	950	142	44	
-	2961	951	12	43	
giving	2973	951	186	44	
be	3205	952	48	44	
1	2495	1047	119	129	
Praise	1854	1300	126	42	
and	2001	1302	75	42	
thanks	2093	1304	142	43	
-	2238	1307	11	41	
giving	2253	1307	189	44	
,	2444	1310	7	41	
Praise	2569	1305	128	42	
and	2721	1306	76	42	
thanks	2811	1306	143	43	
-	2958	1307	13	42	
giving	2972	1307	188	44	
be	3205	1309	49	42	
gra	1874	1871	68	35	
-	1956	1867	15	37	
cious	1986	1866	104	34	
,	2095	1862	9	38	
For	1750	2247	74	25	
He	1886	2249	61	27	
[	2126	1790	37	14	
26	2126	1783	37	51	
]	2126	1738	37	14	
is	2211	1867	35	29	
is	2197	2205	35	27	
is	2202	2248	32	26	
Copyright	1638	2502	188	34	
,	1830	2502	6	34	
1895	1852	2503	64	34	
,	1921	2503	6	34	
by	1944	2503	41	34	
J.	2002	2503	25	34	
H.	2048	2503	40	35	
HALL	2104	2504	111	34	
.	2219	2504	9	34	
gra-	2313	1870	100	36	
cious	2426	1867	105	36	
,	2533	1865	9	38	
gra	2315	2211	68	31	
-	2396	2208	16	34	
cious	2426	2207	105	32	
,	2536	2204	9	34	
gra	2317	2254	67	34	
-	2397	2252	16	35	
cious	2431	2252	105	33	
,	2539	2250	9	35	
1961	2592	1722	33	76	
2	2549	1739	52	40	
196	2587	2027	34	56	
D	2670	1728	33	30	
196	2778	1725	33	57	
For	2789	1870	72	27	
He	2923	1873	61	25	
is	3050	1870	36	29	
is	3034	2204	38	30	
For	2777	2250	73	27	
He	2919	2252	62	27	
is	3038	2249	35	29	
For	2609	2205	76	25	
He	2729	2206	61	25	
11-224	2456	2366	322	66	
J.	3208	696	34	34	
H.	3269	695	48	35	
HALL	3348	695	116	34	
.	3467	694	10	35	
un	3321	965	52	21	
-	3427	959	15	24	
to	3472	959	40	24	
un	3325	1320	48	18	
O	3325	1431	34	27	
gra	3163	1870	69	37	
-	3234	1870	12	37	
cious	3247	1870	106	38	
.	3358	1871	8	37	
145	3443	243	126	51	
gra	3167	2208	69	33	
-	3235	2206	14	36	
cious	3250	2205	105	34	
.	3358	2202	8	36	
gra	3171	2252	67	35	
-	3238	2251	10	36	
cious	3250	2251	105	35	
.	3359	2249	7	36	
-	3423	1327	15	5	
No	3483	1097	26	81	
to	3474	1314	39	23	
SI	3487	1488	22	35	
==	3372	1724	144	69	
¥	3454	2381	48	34	
