content	x	y	w	h	
9:25	443	861	164	56	
bb	529	1343	80	48	
God	712	438	106	56	
will	844	438	106	57	
take	968	439	121	57	
Care	1119	440	128	57	
of	1277	442	57	56	
You	1358	442	105	57	
.	1475	443	11	56	
-	1496	443	40	56	
Concluded	1538	444	218	57	
.	1756	445	13	56	
64	448	1083	149	93	
H	702	1071	223	103	
Father	639	755	178	35	
,	820	755	6	35	
Redeem	842	755	183	35	
er	1065	755	36	35	
and	1140	755	67	35	
Friend	1224	755	120	35	
!	1356	755	8	35	
Jesus	1385	755	138	35	
will	1561	755	75	35	
an	1657	755	45	35	
29	1166	256	74	37	
HOLY	237	1633	143	42	
GHOST	401	1632	168	42	
,	574	1631	8	43	
WITH	609	1631	146	43	
LIGHT	781	1630	161	43	
DIVINE	963	1630	195	42	
.	1164	1629	11	43	
Pleyels	474	1729	149	42	
Hymn	640	1729	130	42	
-	775	1729	35	42	
Key	818	1729	86	42	
G.	920	1729	47	42	
Holy	238	1820	111	42	
Ghost	367	1820	132	42	
,	502	1820	6	42	
with	530	1820	96	42	
light	646	1820	103	42	
divine	768	1820	139	42	
,	912	1820	9	42	
Shine	234	1886	125	40	
upon	377	1886	112	40	
this	507	1886	82	40	
heart	608	1886	120	40	
of	747	1886	43	40	
mine	807	1886	108	40	
;	925	1886	9	40	
Chase	237	1948	134	42	
the	387	1949	71	42	
shades	478	1950	147	43	
of	645	1952	42	41	
night	705	1953	118	42	
away	840	1954	118	42	
,	960	1955	11	41	
Turn	235	2022	108	40	
my	364	2021	69	41	
darkness	453	2021	197	40	
into	669	2020	88	41	
day	777	2019	78	41	
.	860	2019	12	41	
Holy	239	2132	108	41	
Ghost	365	2131	131	42	
,	502	2131	7	42	
with	530	2130	97	42	
power	646	2130	142	42	
divine	806	2129	137	42	
,	948	2129	9	42	
Cleanse	237	2199	174	42	
this	426	2199	85	42	
guilty	528	2199	131	42	
heart	679	2199	119	42	
of	817	2199	44	42	
mine	875	2199	111	42	
;	994	2199	9	42	
Long	238	2268	112	41	
hath	369	2267	100	42	
sin	488	2266	61	42	
,	557	2266	7	42	
without	584	2266	174	41	
control	776	2265	163	41	
,	943	2264	9	42	
Held	238	2333	108	42	
dominion	363	2333	211	42	
o'er	595	2333	85	42	
my	698	2333	68	42	
soul	785	2333	92	42	
.	879	2333	10	42	
ever	641	1236	128	33	
you	802	1236	67	33	
call	913	1236	67	33	
,	982	1236	9	33	
He	1044	1236	51	36	
will	1135	1235	71	37	
take	1226	1235	81	36	
care	1322	1234	77	37	
of	1426	1234	41	37	
you	1479	1234	66	36	
,	1550	1233	5	37	
trust	1568	1233	89	37	
Him	1673	1233	79	37	
for	1761	1232	52	37	
all	1832	1232	48	37	
.	1881	1232	9	37	
2	916	1290	53	27	
AIKN	1361	1307	105	103	
Holy	237	2445	112	42	
Ghost	365	2444	131	43	
,	502	2444	8	43	
with	529	2443	99	43	
joy	644	2443	69	43	
divine	734	2443	136	42	
,	876	2442	10	43	
Cheer	238	2512	133	39	
this	387	2512	82	39	
saddened	489	2512	208	39	
heart	713	2512	118	39	
of	848	2512	45	39	
mine	908	2512	112	39	
;	1027	2512	10	39	
Bid	239	2582	73	40	
my	331	2582	68	40	
many	418	2582	124	40	
woes	559	2582	110	40	
depart	687	2582	148	40	
,	839	2582	9	40	
Heal	237	2646	105	42	
my	359	2645	69	43	
wounded	446	2644	201	42	
,	656	2643	6	43	
bleeding	681	2643	192	42	
heart	891	2642	119	42	
.	1015	2641	10	43	
Holy	238	2762	108	39	
Spirit	367	2761	125	39	
,	498	2760	7	40	
all	525	2760	53	39	
divine	594	2759	141	39	
,	741	2758	9	40	
Dwell	236	2827	132	37	
within	384	2827	142	37	
this	545	2827	81	37	
heart	644	2827	121	37	
of	783	2827	44	37	
mine	843	2827	110	37	
;	960	2827	10	37	
Cast	235	2892	100	41	
down	349	2892	122	41	
every	489	2892	126	41	
idol	632	2892	85	41	
-	722	2892	13	41	
throne	742	2892	150	41	
,	897	2892	10	41	
Reign	235	2964	132	44	
supreme	384	2961	193	43	
and	596	2957	80	45	
reign	694	2956	117	44	
alone	828	2953	121	45	
.	953	2951	10	46	
●	1723	773	12	6	
swer	1755	762	87	23	
when	1856	758	97	24	
MY	1299	1627	78	37	
FAITH	1400	1626	165	37	
LOOKS	1594	1625	162	37	
UP	1781	1624	64	38	
TO	1869	1624	60	38	
THEE	1954	1623	144	38	
.	2105	1623	11	38	
Tune	1467	1724	111	39	
Olivet	1596	1724	124	39	
-	1723	1724	35	39	
Key	1765	1724	83	39	
E.	1876	1724	64	39	
My	1236	1804	71	40	
faith	1324	1804	106	40	
looks	1448	1804	118	40	
up	1585	1804	54	40	
to	1657	1804	43	40	
thee	1717	1804	99	40	
,	1821	1804	10	40	
Thou	1235	1854	116	38	
Lamb	1369	1855	126	38	
of	1510	1857	46	37	
Calvary	1578	1858	180	39	
,	1763	1860	10	37	
Saviour	1414	1914	174	29	
divine	1606	1913	137	29	
:	1753	1912	12	30	
#	1878	1337	116	82	
Now	1236	1965	100	39	
hear	1356	1966	102	40	
me	1475	1967	64	40	
while	1559	1968	119	40	
I	1699	1970	16	39	
pray	1741	1970	103	40	
,	1849	1972	10	39	
Take	1237	2021	112	40	
all	1368	2023	54	39	
my	1440	2024	68	39	
guilt	1525	2025	105	41	
away	1648	2027	115	41	
,	1768	2029	10	39	
O	1238	2082	31	38	
let	1286	2082	59	38	
me	1363	2082	63	38	
from	1446	2082	103	38	
this	1570	2082	82	38	
day	1671	2082	80	38	
Be	1414	2136	57	40	
wholly	1489	2135	152	39	
thine	1658	2133	114	39	
!	1783	2131	7	41	
May	1239	2215	96	41	
thy	1350	2215	76	41	
rich	1444	2215	88	41	
grace	1552	2215	121	41	
impart	1691	2215	155	41	
Strength	1238	2269	196	43	
to	1453	2269	45	43	
my	1516	2269	67	43	
fainting	1603	2269	176	43	
heart	1799	2269	120	43	
,	1924	2269	8	43	
My	1415	2323	71	41	
zeal	1503	2323	89	42	
inspire	1608	2324	156	42	
!	1771	2326	12	41	
As	1237	2374	55	38	
thou	1310	2375	100	39	
hast	1428	2376	94	39	
died	1540	2378	92	39	
for	1653	2379	62	39	
me	1736	2380	64	39	
,	1807	2381	8	38	
O	1238	2436	30	41	
may	1285	2435	96	40	
my	1398	2433	68	41	
love	1484	2431	97	41	
to	1596	2429	46	42	
thee	1660	2428	98	40	
Pure	1236	2492	108	42	
,	1348	2492	8	42	
warm	1376	2492	126	42	
,	1509	2492	8	42	
and	1538	2492	77	42	
changeless	1634	2492	244	42	
be	1894	2492	51	42	
,	1950	2492	10	42	
A	1412	2549	35	39	
living	1465	2548	129	37	
fire	1613	2546	75	38	
!	1695	2545	15	39	
When	1238	2622	132	39	
ends	1390	2622	101	40	
life's	1509	2623	107	39	
transient	1637	2624	204	40	
dream	1859	2625	140	39	
,	2008	2626	9	39	
When	1236	2681	133	41	
death's	1389	2681	162	41	
cold	1570	2681	91	41	
,	1666	2681	7	41	
sullen	1695	2681	132	41	
stream	1846	2681	155	41	
Shall	1416	2736	114	32	
o'er	1547	2736	86	32	
me	1652	2736	61	33	
roll	1732	2737	80	32	
!	1819	2737	11	32	
Blest	1238	2789	113	41	
Saviour	1369	2790	173	42	
,	1546	2791	6	41	
then	1573	2791	100	42	
,	1681	2792	6	41	
in	1707	2792	39	42	
love	1765	2793	97	41	
,	1866	2794	11	41	
Fear	1236	2841	103	36	
and	1356	2843	81	37	
distrust	1455	2845	170	38	
remove	1646	2849	170	39	
;	1822	2853	11	35	
O	1237	2901	31	35	
bear	1287	2901	97	36	
me	1402	2902	66	36	
safe	1487	2903	89	36	
above	1592	2905	135	36	
,	1732	2906	9	35	
A	1415	2961	33	33	
ransomed	1466	2960	220	32	
soul	1704	2959	91	32	
!	1803	2958	11	33	
