content	x	y	w	h	
1	0	1055	40	86	
Copyright	53	1274	28	105	
,	50	1384	25	3	
1894.	50	1399	26	51	
by	48	1466	25	23	
A.	47	1503	25	22	
J.	47	1537	26	20	
Showalter	46	1569	28	115	
.	43	1686	25	6	
Copyright	138	2291	22	110	
,	137	2176	23	4	
1894	137	2160	22	46	
,	136	2112	23	3	
by	136	2095	23	24	
A.	136	2059	23	23	
J.	136	2023	22	20	
Showalter	135	1991	23	110	
.	135	1879	23	7	
-	238	1169	25	36	
b	264	1170	26	36	
·	241	1214	21	28	
b	244	1214	22	28	
·	267	1214	14	28	
FIRST	311	302	115	33	
SEMI	448	303	98	34	
-	546	304	13	33	
CHORUS	563	304	157	34	
.	725	306	9	33	
Yes	309	515	72	34	
,	389	515	6	34	
she	423	515	67	34	
did	536	515	61	34	
,	603	515	10	34	
#	240	2573	42	32	
1ST	310	783	62	27	
SEM	398	782	78	28	
.	483	782	8	28	
#	236	1477	45	53	
3	277	1477	41	53	
4	275	1545	45	41	
3	280	1952	37	39	
4	279	2002	41	39	
Ka	331	1028	56	35	
ty	446	1027	39	36	
did	534	1027	63	36	
!	606	1026	11	36	
1	463	1688	11	4	
의	636	413	40	31	
-	465	1865	13	4	
Ka	715	514	55	36	
ty	830	514	40	37	
did	917	515	61	37	
,	984	516	9	36	
KATY	738	236	139	30	
DID	905	236	84	30	
!	1005	236	10	30	
KATY	1054	236	136	30	
DID	1220	236	83	30	
N'T	1328	236	80	30	
!	1419	236	11	30	
400	793	535	13	4	
2D	730	786	49	27	
SEM	805	786	80	27	
.	892	786	8	27	
1.	290	1671	34	27	
Gen	351	1671	76	27	
es	767	1721	39	22	
2.	289	1717	37	25	
Plant	350	1717	110	25	
3.	287	1760	35	26	
O'er	348	1758	84	26	
her	516	1758	66	39	
form	620	1758	101	39	
the	747	1758	65	39	
4.	289	1803	34	33	
Hush	350	1803	106	33	
!	468	1803	9	33	
sweet	495	1803	117	33	
music	627	1803	173	33	
5.	290	1847	33	29	
Gen	350	1847	78	30	
ว	1024	831	42	158	
Katy	720	1029	147	32	
did	915	1027	61	33	
-	980	1026	12	34	
n't	996	1026	52	34	
!	1057	1025	11	34	
-	719	1732	10	4	
18	554	2570	66	44	
2	670	2570	49	44	
음	573	2573	50	43	
7	1021	667	40	31	
E	793	1485	99	111	
GENTLY	623	1347	300	44	
LAY	963	1347	152	44	
LAY	965	1347	145	43	
HER	1155	1347	150	43	
HER	1151	1347	152	44	
LOW	1351	1347	158	44	
.	1523	1347	15	44	
!	950	1494	92	114	
SECOND	1115	305	157	32	
SEMI	1297	305	97	32	
-	1395	305	12	32	
CHORUS	1412	305	157	32	
.	1575	305	9	32	
tly	521	1672	55	38	
,	581	1671	8	39	
gently	618	1671	188	37	
lay	851	1668	59	39	
her	951	1667	66	39	
low	1043	1666	71	39	
,	1119	1666	11	39	
the	517	1717	64	25	
ros	621	1720	61	26	
on	854	1723	47	20	
her	950	1713	66	30	
tomb	1027	1714	103	31	
,	1135	1717	7	29	
wil	848	1758	63	39	
-	914	1758	11	39	
lows	927	1758	94	39	
weep	1038	1758	99	39	
,	1145	1758	6	39	
fills	849	1803	69	33	
the	960	1803	62	33	
air	1047	1803	55	33	
,	1107	1803	7	33	
tly	523	1848	53	38	
,	581	1848	8	38	
gently	620	1848	186	38	
come	833	1848	105	38	
a	978	1848	19	38	
way	1045	1848	81	38	
,	1131	1848	9	38	
-	1014	1866	14	5	
B	849	1954	51	48	
Ka	1107	518	56	34	
ty	1213	516	42	35	
did	1301	515	64	34	
-	1374	513	16	35	
n't	1401	513	51	34	
!	1461	512	12	35	
41	1064	2725	36	25	
g	756	2154	118	118	
Si	327	2289	43	29	
lent	455	2284	81	38	
from	555	2284	97	39	
the	671	2285	65	38	
churchyard	782	2286	231	40	
go	1040	2288	47	38	
;	1100	2288	11	38	
Fair	327	2334	85	37	
are	459	2334	62	37	
they	545	2334	88	37	
,	639	2334	6	37	
and	673	2334	71	37	
in	790	2334	38	37	
her	932	2330	66	34	
bloom	1016	2330	121	35	
,	1145	2332	8	34	
And	328	2376	81	38	
the	456	2376	63	38	
pine	558	2377	86	38	
groves	657	2377	132	39	
mur	802	2378	82	38	
-	899	2378	13	38	
mur	926	2379	81	38	
deep	1023	2379	90	38	
,	1120	2380	7	38	
War	326	2422	92	34	
-	418	2422	13	34	
blers	433	2422	97	35	
,	537	2423	7	34	
vain	559	2423	87	35	
-	663	2424	13	34	
ly	693	2424	35	34	
chant	798	2423	114	39	
ye	941	2423	45	39	
there	1025	2423	105	39	
,	1137	2423	6	39	
homeward	797	2465	217	40	
stray	1027	2465	102	40	
,	1135	2465	7	40	
Weep	327	2469	116	33	
not	461	2469	68	33	
as	574	2477	42	20	
ye	682	2477	49	29	
Pop	800	2524	181	155	
2	1134	1523	39	28	
FULL	1169	783	103	31	
CHORUS	1299	782	158	31	
.	1462	781	9	32	
नै	1138	2163	12	40	
Ka	1160	1027	56	37	
ty	1275	1026	40	38	
did	1362	1025	63	38	
,	1432	1024	7	38	
she	1473	1024	65	38	
did	1584	1023	64	38	
!	1659	1023	10	38	
ļ	1252	1145	76	99	
*	1116	2599	42	29	
1	1240	1044	13	4	
#	1758	340	107	136	
4	1806	340	110	136	
Ka	1550	517	56	36	
ty	1664	515	37	37	
did	1748	514	63	37	
-	1823	514	14	37	
n't	1848	513	53	37	
!	1910	513	11	37	
-	1629	531	14	4	
g	1421	2217	61	51	
She's	1196	2289	102	31	
with	1313	2290	92	31	
God	1438	2291	83	31	
,	1524	2291	8	31	
She	1196	2332	72	35	
was	1317	2334	76	34	
fair	1434	2335	76	34	
,	1514	2336	9	34	
Sound	1193	2377	126	39	
-	1326	2377	10	39	
ing	1337	2377	64	39	
nigh	1438	2377	87	40	
,	1534	2378	6	39	
She'll	1194	2423	109	39	
not	1329	2423	65	39	
hear	1443	2423	87	39	
,	1537	2423	5	39	
She's	1194	2465	99	40	
with	1313	2465	88	40	
God	1434	2465	80	40	
,	1520	2465	11	40	
A.	1520	1425	46	30	
J.	1585	1425	33	30	
SHOWALTER	1639	1426	242	31	
.	1886	1428	9	30	
H	1780	1482	100	118	
she	1679	1067	64	33	
did	1783	1061	61	34	
-	1841	1058	16	36	
n't	1852	1057	51	34	
!	1903	1054	13	36	
-	1550	1865	13	4	
Softly	1210	1668	176	39	
,	1393	1668	7	39	
soft	1450	1669	81	39	
-	1556	1669	13	39	
ly	1592	1670	35	39	
press	1646	1670	104	39	
the	1768	1671	66	39	
sod	1851	1671	68	39	
;	1930	1671	9	39	
Let	1209	1713	67	33	
them	1321	1713	99	33	
bud	1454	1714	72	33	
and	1574	1714	70	34	
blossom	1657	1715	158	33	
there	1828	1716	108	33	
;	1945	1716	10	33	
Thro	1203	1758	97	39	
'	1307	1758	9	39	
