content	x	y	w	h	
32	331	321	70	45	
9	330	1848	78	83	
met	416	2644	72	20	
92	331	2690	154	101	
9	323	3491	100	85	
4	510	572	47	47	
1.	526	801	38	33	
There's	595	801	162	34	
the	778	803	67	33	
mu	884	804	62	33	
sic	1027	802	54	35	
of	1136	803	47	32	
the	1252	804	65	41	
birds	1339	803	102	41	
,	1444	802	8	42	
2.	525	871	40	30	
Tho	637	860	83	45	
'	716	861	16	45	
the	778	861	66	46	
little	900	863	185	48	
birds	1109	866	102	46	
may	1243	868	85	46	
sing	1350	870	83	45	
,	1436	871	8	45	
man	863	948	89	22	
may	1017	945	85	35	
not	1141	941	68	36	
be	1250	937	49	37	
skilled	1316	936	134	33	
3	530	937	23	34	
.	559	936	8	34	
The	633	936	79	31	
4	510	1051	46	46	
The	973	388	145	56	
Hammer	1160	388	330	56	
and	1532	388	133	56	
the	1706	388	117	56	
Saw	1864	388	156	56	
.	2031	388	19	56	
REFRAIN	515	2936	212	35	
.	735	2936	9	35	
Hail	535	3273	97	33	
Hail	553	3361	84	27	
to	693	3364	41	25	
lib	808	3360	54	29	
to	685	3276	45	29	
liberty	821	3269	230	45	
and	1100	3270	77	45	
peace	1230	3270	119	46	
!	1357	3271	11	45	
music	563	1579	157	48	
of	758	1579	45	48	
the	854	1579	66	48	
for	940	1579	56	48	
-	1009	1579	13	48	
est	1035	1579	56	48	
On	1108	1579	59	48	
the	1218	1579	65	48	
grand	1304	1579	122	48	
old	1467	1579	63	48	
trees	1579	1579	98	48	
.	1686	1579	7	48	
Na	1735	1579	60	48	
-	1798	1579	12	48	
ture's	1812	1579	112	48	
sym	1947	1579	77	48	
-	2034	1579	12	48	
pho	2060	1579	74	48	
-	2136	1579	13	48	
ny	2153	1579	46	48	
is	2257	1579	29	48	
sweet	2305	1579	114	48	
,	2423	1579	6	48	
And	2453	1579	90	48	
with	2564	1579	91	48	
lar	556	1649	61	48	
-	631	1648	17	49	
der	660	1648	65	49	
may	741	1648	87	49	
be	856	1647	49	49	
emp	921	1647	82	49	
-	1021	1647	12	49	
ty	1046	1647	40	49	
And	1108	1646	90	49	
the	1216	1646	65	49	
wheat	1303	1646	125	48	
crop	1449	1645	89	49	
low	1596	1644	71	49	
.	1675	1644	7	49	
But	1735	1644	77	49	
when	1831	1644	105	48	
la	1966	1643	37	49	
-	2023	1643	13	49	
bor	2051	1643	72	48	
strikes	2140	1642	136	49	
a	2290	1642	23	49	
note	2328	1642	89	48	
,	2422	1641	8	49	
Then	2447	1641	108	49	
the	2570	1641	66	48	
caught	496	1713	147	48	
and	658	1713	81	48	
in	754	1713	37	48	
-	805	1713	17	48	
spir-	835	1713	97	48	
a	948	1713	22	48	
-	990	1713	13	48	
tion	1015	1713	79	48	
From	1110	1713	113	48	
ambition's	1236	1713	212	48	
noble	1469	1713	112	48	
fire	1610	1713	68	48	
;	1685	1713	10	48	
"	1711	1713	22	48	
I'll	1749	1713	72	48	
earn	1952	1714	90	42	
my	2056	1713	62	43	
bread	2132	1713	119	42	
and	2262	1712	75	43	
bed	2356	1711	72	43	
,	2435	1711	6	43	
Tho	2448	1711	80	43	
'	2531	1710	13	43	
,	2547	1710	7	43	
"	2559	1710	18	43	
he	2595	1710	50	43	
er	1005	3370	39	19	
And	1518	802	92	42	
the	1663	801	68	42	
mu	1788	815	65	21	
sic	1940	803	52	30	
of	2030	803	46	30	
the	2154	801	68	44	
bees	2242	801	90	44	
;	2340	801	10	44	
There's	2380	801	163	44	
the	2572	801	68	44	
And	1521	868	91	34	
the	1669	862	67	46	
balmy	1767	863	201	48	
zeph	2006	865	94	47	
-	2121	867	13	46	
yrs	2154	867	61	47	
