content	x	y	w	h	
Mo.	304	283	116	52	
136.	450	281	139	52	
In	670	278	80	54	
the	775	277	96	53	
Shelter	897	275	237	52	
of	1160	272	62	54	
the	1242	271	96	54	
Rock	1379	270	148	52	
.	1530	268	15	54	
E.	398	369	36	38	
A.	459	369	41	38	
H.	529	369	41	38	
9	309	1936	48	66	
:	359	1940	16	63	
1	378	1942	24	64	
4	420	464	41	33	
4	426	510	33	34	
9	309	2467	48	57	
:	360	2467	23	57	
1	374	2467	29	57	
1.	417	604	38	29	
In	501	604	45	29	
the	590	604	64	29	
shel	700	604	78	29	
-	783	604	11	29	
ter	797	604	54	29	
of	895	604	45	29	
2.	419	650	34	29	
Neath	473	649	118	30	
the	606	649	62	29	
shel	700	648	78	30	
-	782	648	10	30	
ter	796	648	53	30	
of	895	647	45	30	
4	420	757	44	35	
e	443	1194	22	38	
-	479	1194	16	38	
vil	507	1194	52	38	
and	575	1194	74	38	
no	666	1194	44	38	
harm	728	1194	103	38	
May	852	1194	85	38	
be	956	1194	43	38	
-	1003	1194	13	38	
tide	1017	1194	73	38	
me	1121	1194	55	38	
.	1181	1194	9	38	
tempest	398	1240	159	36	
gather	572	1238	129	37	
round	714	1237	117	37	
,	838	1237	6	37	
Never	859	1236	120	37	
leave	991	1236	102	36	
me	1109	1235	57	36	
.	1170	1234	11	37	
J₂	1051	1292	118	71	
rest	442	1819	78	34	
,	524	1820	7	33	
2	734	1338	46	30	
$	998	452	64	68	
6	1020	452	75	68	
3	1093	504	46	37	
let	528	1862	54	30	
me	612	1863	57	30	
rest	686	1864	74	31	
,	765	1865	8	30	
the	1000	604	60	29	
Rock	1080	604	98	30	
,	1184	605	10	29	
the	1002	649	63	33	
Rock	1082	649	102	33	
,	1187	649	8	33	
£	1006	704	36	28	
f	1094	704	39	28	
Je	1258	606	45	29	
sus	1347	605	59	29	
hide	1423	604	84	30	
Lord	1230	649	97	33	
re	1339	649	36	33	
-	1381	649	12	33	
ceive	1395	649	102	33	
CHORUS	1235	958	153	30	
.	1391	958	12	30	
In	771	1811	46	35	
the	835	1811	62	35	
shelter	915	1812	135	35	
of	1068	1813	40	35	
the	1119	1813	61	35	
Rock	1200	1814	102	35	
I	1323	1815	14	35	
am	1357	1815	55	35	
blest	1430	1815	92	36	
,	1526	1816	7	35	
13	1029	2007	162	69	
1	1193	2008	56	68	
In	1232	1189	47	33	
the	1294	1189	61	34	
shelter	1368	1190	134	34	
of	1520	1192	43	33	
the	1583	1192	59	34	
Rock	1661	1193	102	34	
let	1780	1194	49	34	
me	1848	1195	59	33	
In	1230	1238	44	30	
the	1291	1238	59	30	
shelter	1363	1238	136	30	
&	1518	1239	28	30	
c	1553	1239	19	30	
,	1576	1239	10	30	
#	1575	1374	124	100	
a	1854	1377	83	99	
S.	1554	366	39	38	
W.	1615	366	52	39	
Straub	1695	367	125	39	
.	1826	368	10	38	
3	753	2660	19	38	
Sheltered	800	2660	195	40	
in	1012	2663	35	38	
the	1066	2664	58	38	
open	1142	2665	92	39	
rock	1251	2666	90	39	
,	1346	2667	10	38	
Father	843	2711	134	35	
,	983	2711	7	35	
near	1009	2711	89	35	
thee	1113	2711	82	35	
,	1199	2711	9	35	
With	800	2750	101	39	
the	914	2750	63	40	
blessings	993	2751	175	40	
of	1188	2752	41	39	
thy	1250	2752	65	40	
love	1331	2753	88	39	
Sweetly	843	2798	156	37	
cheer	1016	2796	110	38	
me	1143	2795	60	38	
.	1206	2795	11	38	
me	1568	618	56	22	
,	1627	618	8	22	
That	1698	607	93	30	
no	1809	611	46	29	
me	1564	654	55	32	
;	1629	651	10	35	
When	1661	650	119	31	
the	1794	646	66	33	
4	753	2866	23	36	
From	802	2866	105	37	
the	925	2867	60	37	
shelter	1004	2868	133	38	
of	1155	2870	40	36	
the	1214	2871	65	36	
rock	1294	2872	92	36	
,	1390	2873	9	36	
Father	844	2913	136	34	
,	984	2915	6	33	
take	1010	2915	85	34	
me	1112	2916	60	34	
,	1176	2917	8	33	
When	799	2953	118	39	
the	933	2954	62	39	
glories	1012	2955	132	40	
of	1163	2957	43	38	
yon	1224	2958	72	38	
heaven	1319	2959	137	39	
Shall	847	3000	104	33	
awake	968	3000	126	34	
me	1119	3002	56	33	
.	1178	3002	8	33	
न	1346	2206	170	125	
shel	430	2358	79	39	
-	511	2358	10	39	
ter	526	2358	54	39	
of	611	2359	41	39	
the	679	2359	59	39	
Rock	760	2359	101	40	
,	869	2360	6	39	
In	895	2360	40	39	
the	969	2361	60	39	
shel	1047	2361	77	39	
-	1127	2361	10	39	
ter	1140	2362	55	39	
of	1242	2362	42	39	
the	1313	2362	59	40	
Rock	1390	2363	102	39	
,	1499	2364	6	39	
I	1539	2364	23	39	
£	1238	2421	38	25	
.	1281	2421	18	25	
I	1542	1863	20	32	
am	1609	1863	54	32	
blest	1683	1863	95	32	
,	1781	1863	9	32	
JHE	1796	746	124	80	
am	1644	2378	57	20	
In	1773	1820	45	27	
the	1847	1820	65	27	
blest	1766	2371	96	29	
.	1866	2373	6	28	
