content	x	y	w	h	
43	445	238	79	44	
P.	450	313	35	23	
H.	501	313	43	23	
14	480	409	47	28	
1:48	1234	427	205	73	
#	1662	454	72	43	
the	1734	551	68	31	
sail	1819	552	72	32	
-	1908	555	15	30	
or	1937	555	42	31	
1.	427	551	32	42	
Bright	486	551	133	42	
star	638	551	77	42	
of	732	551	39	42	
hope	787	551	102	42	
,	892	551	7	42	
there's	914	551	144	42	
darkness	1077	551	183	42	
on	1275	551	48	42	
the	1337	551	66	42	
sea	1418	551	59	42	
,	1482	551	6	42	
Lost	1514	551	90	42	
is	1645	551	33	42	
2.	425	596	36	41	
Bright	485	596	133	41	
star	636	596	77	41	
of	729	596	38	41	
hope	783	596	100	41	
,	888	596	6	41	
the	922	596	67	41	
wear	1016	596	97	41	
-	1113	596	13	41	
y	1131	596	21	41	
traveler	1173	596	163	41	
strays	1356	596	119	41	
,	1483	596	5	41	
Lost	1507	596	87	41	
in	1641	596	37	41	
the	1728	596	66	41	
darkness	1813	596	183	41	
3.	425	639	34	42	
Bright	484	639	135	42	
star	636	639	77	42	
of	729	639	39	42	
hope	785	639	98	42	
,	887	639	6	42	
send	910	639	92	42	
out	1015	639	65	42	
thy	1097	639	69	42	
gladsome	1180	639	191	42	
light	1389	639	96	42	
,	1490	639	5	42	
Na	1516	639	54	42	
-	1586	639	12	42	
tions	1611	639	103	42	
in	1752	639	41	42	
darkness	1811	639	187	42	
4	497	792	39	34	
2	415	1480	93	94	
:	521	1464	48	101	
y	890	1039	59	41	
in	506	1096	45	29	
the	602	1093	69	43	
tempest	689	1093	167	43	
wild	873	1093	87	43	
,	968	1093	6	43	
Swift	993	1093	105	43	
flies	1117	1093	77	43	
his	1214	1093	58	43	
bark	1290	1093	93	43	
where	1400	1093	127	43	
rocks	1541	1093	109	43	
and	1664	1093	77	43	
dangers	1755	1093	161	43	
be	1933	1093	47	43	
,	1983	1093	8	43	
now	509	1139	83	42	
for	610	1139	57	42	
help	684	1139	91	42	
he	791	1139	49	42	
cries	857	1139	93	42	
,	956	1139	6	42	
Shine	989	1139	118	42	
thou	1123	1139	95	42	
and	1233	1139	74	42	
lead	1321	1139	86	42	
him	1421	1139	80	42	
back	1520	1139	96	42	
to	1635	1139	38	42	
wisdom's	1689	1139	190	42	
ways	1896	1139	105	42	
