content	x	y	w	h	
No.	399	256	102	47	
187	531	257	110	48	
.	644	258	15	47	
Rev.	485	476	92	30	
J.	597	476	35	30	
GRIGG	653	476	123	30	
.	784	476	7	30	
256	487	551	112	58	
b	510	599	23	35	
8	569	620	39	39	
eft	395	2257	106	73	
6	571	974	34	41	
b8	507	1024	99	33	
b	508	1264	28	39	
E	452	1638	22	42	
b	486	1644	24	42	
b	533	1652	27	42	
·	506	1691	21	37	
b	512	1691	22	37	
·	538	1691	11	37	
b	483	2527	25	39	
D	1016	550	104	144	
1.	552	731	34	39	
Be	604	731	52	39	
hold	719	731	89	39	
a	827	732	19	39	
Stranger	859	732	179	39	
at	1064	732	37	40	
the	1141	733	63	39	
door	1216	733	92	39	
;	1320	733	8	39	
He	1335	734	55	39	
gen	1401	734	71	39	
-	1474	734	12	39	
tly	1491	734	51	39	
knocks	1555	734	105	40	
,	1667	735	4	39	
has	1679	735	53	39	
knock'd	1742	735	120	40	
be	1872	736	43	39	
-	1919	736	13	39	
fore	1936	736	85	39	
;	2031	736	9	39	
2.	549	777	36	39	
Oh	604	777	54	39	
,	663	777	7	39	
love	705	777	86	39	
-	792	777	13	39	
ly	807	777	39	39	
at-	886	777	62	39	
titude	965	777	118	39	
,	1089	777	7	39	
-He	1104	777	95	39	
stands	1207	777	102	39	
,	1316	777	6	39	
With	1331	777	90	39	
melting	1430	777	119	39	
heart	1556	777	106	39	
and	1674	777	71	39	
loaded	1757	777	134	39	
hands	1900	777	119	39	
;	2030	777	10	39	
3.	550	819	35	39	
Rise	599	819	75	39	
,	678	819	7	39	
touch'd	691	819	118	40	
with	821	820	68	39	
grat	901	820	66	40	
-	979	821	14	39	
i-	1003	821	37	39	
tude	1052	821	69	39	
divine	1157	822	124	39	
,	1289	822	6	39	
Turn	1302	822	102	40	
out	1416	823	65	39	
His	1501	824	64	39	
en	1593	824	45	39	
e	1697	825	19	39	
-	1732	825	14	39	
my	1760	825	59	39	
and	1839	825	72	40	
thine	1921	826	106	39	
,	2031	826	9	39	
4.	549	862	37	40	
Ad-	604	862	82	40	
mit	715	862	66	41	
Him	798	863	81	40	
ere	893	863	60	40	
His	969	864	64	40	
an	1059	864	45	40	
-	1110	864	12	40	
ger	1124	864	64	41	
burn	1200	865	72	40	
,	1277	865	7	40	
-His	1290	865	106	41	
feet	1409	866	60	40	
de	1501	866	42	40	
-	1555	866	14	40	
part	1580	866	85	41	
-	1669	867	11	40	
ed	1685	867	43	40	
,	1734	867	6	40	
ne'er	1747	867	97	41	
re	1861	868	40	40	
-	1902	868	12	40	
turn	1917	868	87	40	
;	2016	869	9	40	
REFRAIN	530	1792	174	28	
.	711	1793	10	27	
Oh	593	1835	44	25	
,	643	1833	8	27	
let	683	1832	48	26	
b	531	1943	25	40	
O	550	2279	8	28	
b	507	2577	26	37	
NE	594	1229	193	114	
Has	547	1401	76	38	
wait	650	1401	89	38	
-	742	1401	12	38	
ed	758	1401	44	38	
long	816	1401	88	38	
,	912	1401	5	38	
is	939	1401	28	38	
wait	995	1401	87	38	
-	1086	1401	11	38	
ing	1101	1401	64	38	
still	1181	1401	76	38	
;	1269	1401	10	38	
You	1284	1401	80	38	
treat	1398	1401	96	38	
no	1509	1401	47	38	
other	1582	1401	144	38	
friend	1746	1401	124	38	
so	1884	1401	41	38	
ill	1948	1401	46	38	
.	1995	1401	11	38	
O	547	1446	30	35	
matchless	624	1446	198	35	
kind	834	1446	66	35	
-	904	1446	11	35	
ness	917	1446	67	35	
,	990	1446	5	35	
and	1003	1446	70	35	
He	1093	1446	54	35	
shows	1159	1446	124	35	
His	1300	1446	64	35	
matchless	1379	1446	199	35	
kindness	1594	1446	180	35	
to	1789	1446	37	35	
His	1863	1446	65	35	
foes	1944	1446	83	35	
.	2032	1446	8	35	
That	549	1490	96	40	
soul	662	1490	83	40	
destroying	768	1490	219	40	
monster	1003	1490	168	40	
sin	1183	1490	55	40	
,	1247	1490	6	40	
And	1283	1490	80	40	
let	1396	1490	52	40	
the	1494	1490	62	40	
heav'n	1570	1490	104	40	
-	1675	1490	11	40	
ly	1690	1490	31	40	
Stranger	1739	1490	181	40	
in	1950	1490	39	40	
.	1994	1490	11	40	
Ad-	546	1532	90	38	
mit	666	1532	67	38	
Him	747	1532	84	39	
or	848	1533	40	38	
the	928	1533	63	38	
hour's	1000	1533	97	39	
at	1112	1534	29	38	
hand	1160	1534	97	38	
,	1264	1534	6	38	
You'll	1277	1534	119	39	
at	1409	1535	38	38	
His	1493	1535	66	39	
door	1574	1536	93	38	
reject	1685	1536	159	39	
-	1848	1537	11	38	
ed	1863	1537	45	38	
stand	1917	1537	111	38	
.	2033	1538	9	38	
b	529	2536	27	43	
P	672	750	9	4	
Let	932	256	102	46	
Him	1070	256	120	47	
Come	1234	257	166	47	
in	1423	259	57	46	
.	1490	259	16	46	
